title,link,channel,channel_link,date,video_length,time_diff,watch_time
BEST of STRANGE & SCARY Mysteries of The Year - 2025,https://www.youtube.com/watch?v=4dlq95UmCD0,Scary Mysteries,https://www.youtube.com/channel/UCiE86yS_VM7qjiICqRPmwLQ,2026-03-18T01:21:02.717Z,3231.0,,3231.0
STRANGE & SCARY Mysteries of The Month - Nov. 2024,https://www.youtube.com/watch?v=5h_p66bnr3Y,Scary Mysteries,https://www.youtube.com/channel/UCiE86yS_VM7qjiICqRPmwLQ,2026-03-18T00:58:39.975Z,1332.0,1342.742,1332.0
Colorado’s 5 DARKEST Mysteries,https://www.youtube.com/watch?v=u_c_42NYH-Y,Scary Mysteries,https://www.youtube.com/channel/UCiE86yS_VM7qjiICqRPmwLQ,2026-03-18T00:30:40.524Z,1664.0,1679.451,1664.0
5 DISTURBING Cases From YOU! The Folder of Forgotten Cases,https://www.youtube.com/watch?v=LDpqWuxHDrc,Scary Mysteries,https://www.youtube.com/channel/UCiE86yS_VM7qjiICqRPmwLQ,2026-03-18T00:07:29.018Z,1381.0,1391.506,1381.0
The Forbidden World *Marathon* | Ancient Aliens | History,https://www.youtube.com/watch?v=TkfEpnWBvpw,HISTORY,https://www.youtube.com/channel/UC9MAhZQQd9egwWCxrwSIsJQ,2026-03-17T22:15:23.179Z,7646.0,6725.839,6725.839
"Bigfoot Breakthrough? New Clues Revealed (S2, E9) | America's Book of Secrets | Full Episode",https://www.youtube.com/watch?v=37ft9HV6fBA,HISTORY,https://www.youtube.com/channel/UC9MAhZQQd9egwWCxrwSIsJQ,2026-03-17T21:31:58.982Z,2594.0,2604.197,2594.0
Terrifying Cryptids from Season 2 | The Alaska Triangle | Travel Channel,https://www.youtube.com/watch?v=wBf9v65ulTs,Travel Channel,https://www.youtube.com/channel/UCJUAqHnkDX15IvFoXIGTm2A,2026-03-17T20:32:18.670Z,3616.0,3580.312,3580.312
15 Unsolved Mysteries That Cannot Be Explained,https://www.youtube.com/watch?v=cmwpl9hp5C0,Unexplained Mysteries,https://www.youtube.com/channel/UCIczOFxwgv27AlTkZZMj8yw,2026-03-17T20:07:38.209Z,5068.0,1480.461,1480.461
Shocking Extraterrestrial Mysteries *Marathon* | Ancient Aliens | History,https://www.youtube.com/watch?v=aiX0w7m33iU,HISTORY,https://www.youtube.com/channel/UC9MAhZQQd9egwWCxrwSIsJQ,2026-03-17T17:00:16.721Z,7762.0,11241.488,7762.0
"Ancient Aliens: Are Paranormal Encounters Signs of Other Dimensions? (S14, E11) | Full Episode",https://www.youtube.com/watch?v=F1W3klFsXJg,HISTORY,https://www.youtube.com/channel/UC9MAhZQQd9egwWCxrwSIsJQ,2026-03-17T16:17:44.776Z,2542.0,2551.945,2542.0
The Most Mysterious Theories in Mathematics | Ancient Aliens | History,https://www.youtube.com/watch?v=-UfqVbm3bGY,HISTORY,https://www.youtube.com/channel/UC9MAhZQQd9egwWCxrwSIsJQ,2026-03-17T15:56:29.090Z,1268.0,1275.686,1268.0
Outer Space’s Most Baffling Mysteries | Ancient Aliens | History,https://www.youtube.com/watch?v=e7qBL48D9ts,HISTORY,https://www.youtube.com/channel/UC9MAhZQQd9egwWCxrwSIsJQ,2026-03-17T15:23:14.697Z,1984.0,1994.393,1984.0
[NO ADS] Viewers Share Their UFO Sightings,https://www.youtube.com/watch?v=MxXSnO0OZVA,Hammerson Peters,https://www.youtube.com/channel/UCFTX4ZTagwVT8wLopbk-eiw,2026-03-17T14:32:19.297Z,1695.0,3055.4,1695.0
Funny comments from Russian repair guy,https://www.youtube.com/watch?v=R6sAP1e5K1E,Meemz,https://www.youtube.com/channel/UCePHWEstr2dqSwiwna6zkPw,2026-03-17T08:44:59.383Z,,20839.914,20839.914
Whose Mom Is This?,https://www.youtube.com/watch?v=TmqaSVQQHSU,Miniminuteman,https://www.youtube.com/channel/UC-SrCCzkGq0wmSAuRs7EBFg,2026-03-17T08:43:49.148Z,59.0,70.235,59.0
Discovering Mummies Frozen in Time (Full Episode) | SPECIAL | National Geographic,https://www.youtube.com/watch?v=0o0QyLTzVyw,National Geographic,https://www.youtube.com/channel/UCpVm7bg6pXKo1Pr6k5kxG9A,2026-03-17T08:38:57.780Z,2665.0,291.368,291.368
The Time Traveler's Cup: 5 Ancient Crystal Artifacts That Shouldn't Exist,https://www.youtube.com/watch?v=U_kabJgO55o,Dark5 Ancient Mysteries,https://www.youtube.com/channel/UC8QWOIcinxsrvMGlWox7bXg,2026-03-17T08:20:29.350Z,1004.0,1108.43,1004.0
"The Most Unique War Weapons (S1, E4) | The UnBelievable with Dan Aykroyd | Full Episode",https://www.youtube.com/watch?v=nCLw4qsPyUk,HISTORY,https://www.youtube.com/channel/UC9MAhZQQd9egwWCxrwSIsJQ,2026-03-17T05:50:33.278Z,,8996.072,8996.072
"GIFT or CURSE? Real-Life Superhumans (S1, E6) | The UnBelievable with Dan Aykroyd | Full Episode",https://www.youtube.com/watch?v=R-Qkd3aFJ_g,HISTORY,https://www.youtube.com/channel/UC9MAhZQQd9egwWCxrwSIsJQ,2026-03-17T05:08:43.635Z,2496.0,2509.643,2496.0
Attila The Hun: The Grave No One Can Find | Full Documentary,https://www.youtube.com/watch?v=sCzu7p-iBYY,Get.history,https://www.youtube.com/channel/UCTRgu3iuyGXbhz5kYNjpObw,2026-03-17T04:15:07.015Z,3207.0,3216.62,3207.0
The Akkadian Enigma: Why Did the World's First Empire Collapse? | Full Documentary,https://www.youtube.com/watch?v=CThJQ35mSpE,Get.history,https://www.youtube.com/channel/UCTRgu3iuyGXbhz5kYNjpObw,2026-03-17T03:24:51.821Z,3008.0,3015.194,3008.0
"Deadly Mysteries Beneath Lake Michigan (S1, E1) | The UnBelievable w/ Dan Aykroyd | Full Episode",https://www.youtube.com/watch?v=ZslHX6-39Uc,HISTORY,https://www.youtube.com/channel/UC9MAhZQQd9egwWCxrwSIsJQ,2026-03-17T02:42:55.378Z,,2516.443,2516.443
3 Major Updates to Cases Previously Featured on Criminally Listed Part 12,https://www.youtube.com/watch?v=I4Pj7_iS4Yw,Criminally Listed,https://www.youtube.com/channel/UCs3iFCPtX0gzkKxCrobO4ig,2026-03-17T02:10:42.329Z,1930.0,1933.049,1930.0
Real Life Horror Stories from the Pacific Northwest,https://www.youtube.com/watch?v=PKllpQ9nOnM,Northern Crimes,https://www.youtube.com/channel/UCFtWkGb25CyTJy3Q9fKxQsw,2026-03-17T00:08:49.996Z,7307.0,7312.333,7307.0
Ariana Grande - no tears left to cry (Official Video),https://www.youtube.com/watch?v=ffxKSjUwKdU,ArianaGrandeVevo,https://www.youtube.com/channel/UC0VOyT2OCBKdQhF3BAbZ-1g,2026-03-14T18:46:00.294Z,239.0,192169.702,239.0
"Bebe Rexha - Baby, I'm Jealous (feat. Doja Cat) [Official Music Video]",https://www.youtube.com/watch?v=PznMpRASjAg,Bebe Rexha,https://www.youtube.com/channel/UC5-gWZXAQqSGVfPHkA7NRiQ,2026-03-14T18:41:01.240Z,295.0,299.054,295.0
