title,link,channel,channel_link,date,video_length,time_diff,watch_time
Oakley Meta | Athletic Intelligence is Here,https://www.youtube.com/watch?v=NerlyGrv7WM,,,2026-02-09T17:39:40.734Z,61.0,,61.0
PORTAL ACCOMPLISHMENTS / Iowa Hawkeyes LIVE 231,https://www.youtube.com/watch?v=CvAYGf7KnX0,Iowa at The Voice of College Football,https://www.youtube.com/channel/UCa93j6__VEO_HzZg3iVNfdg,2026-02-09T10:55:57.898Z,1822.0,24222.836,1822.0
"OFFERS, OFFERS, OFFERS / Iowa Hawkeyes LIVE 232",https://www.youtube.com/watch?v=7MthR_aJ4U0,Iowa at The Voice of College Football,https://www.youtube.com/channel/UCa93j6__VEO_HzZg3iVNfdg,2026-02-09T10:55:42.751Z,3854.0,15.147,15.147
Artlist’s Official Big Game Commercial 2026,https://www.youtube.com/watch?v=yqxaKfMss4Q,,,2026-02-09T10:55:26.136Z,30.0,16.615,16.615
Oakley Meta | Athletic Intelligence is Here,https://www.youtube.com/watch?v=NerlyGrv7WM,,,2026-02-08T15:17:12.613Z,61.0,70693.523,61.0
ASMR UNBOXING NEW SLIME/ SATISFYING AND RELAXING SOUNDS ,https://www.youtube.com/watch?v=IWdoi7sOZF8,SONYING ASMR,https://www.youtube.com/channel/UCo6ojPObUyUaqP3d959MQ7w,2026-02-08T13:52:46.563Z,912.0,5066.05,912.0
US Debit Flex Tapping Card 9x16 Meta,https://www.youtube.com/watch?v=f4PNFfEe34M,,,2026-02-08T13:52:39.088Z,8.0,7.475,7.475
Vrbo | Costal Carolina Stays,https://www.youtube.com/watch?v=EAl9njuc43w,,,2026-02-08T13:52:32.652Z,7.0,6.436,6.436
ASMR HAIR PLAY/ BRUSHING HAIR/ RELAXATION/ TINGLE TO PUT YOU SLEEP/ HAIR STYLE,https://www.youtube.com/watch?v=Vrcq_fGRh1A,SONYING ASMR,https://www.youtube.com/channel/UCo6ojPObUyUaqP3d959MQ7w,2026-02-08T13:52:03.790Z,2224.0,28.862,28.862
26Q1 AGRNATLOC PDS YT15 Hotbuys produced 1920x1080,https://www.youtube.com/watch?v=r7jN4SMTzwg,,,2026-02-08T13:48:49.625Z,16.0,194.165,16.0
