title,link,channel,channel_link,date,video_length,time_diff,watch_time
Why this toaster design from 1949 is still smarter than any sold today. #Technology,https://www.youtube.com/watch?v=Ob-54yYy_0o,The Verge,https://www.youtube.com/channel/UCddiUEpeqJcYeBxX1IVBKvQ,2026-04-07T18:27:51.301Z,55.0,,55.0
Brown; color is weird,https://www.youtube.com/watch?v=wh4aWZRtTwU,Technology Connections,https://www.youtube.com/channel/UCy0tKL1T7wFoYcxCe0xjN6Q,2026-04-07T18:27:39.660Z,1275.0,11.641,11.641
Nutria are a Blessing.  #Blessing #Nutria #farmlife,https://www.youtube.com/watch?v=6zN8-n7Ad1w,The  1 Carrot Crew ,https://www.youtube.com/channel/UCcV7CewwStmiA97PcqgvRfg,2026-04-06T17:16:12.665Z,64.0,90686.995,64.0
This is our little pond on the farm.  Our entire farm is designed to be wildlife inclusive .,https://www.youtube.com/watch?v=ZDMB4jkT3Lg,The  1 Carrot Crew ,https://www.youtube.com/channel/UCcV7CewwStmiA97PcqgvRfg,2026-04-06T17:16:06.265Z,47.0,6.4,6.4
what is a Nutria? #countrygirl #wildlife,https://www.youtube.com/watch?v=wHAXxvgJ0V8,The  1 Carrot Crew ,https://www.youtube.com/channel/UCcV7CewwStmiA97PcqgvRfg,2026-04-06T17:14:40.125Z,68.0,86.14,68.0
My life with Nutria.   Yes we can coexist #wildlife #nutria #countrygirl,https://www.youtube.com/watch?v=eMeIzTa-sBc,The  1 Carrot Crew ,https://www.youtube.com/channel/UCcV7CewwStmiA97PcqgvRfg,2026-04-06T17:14:12.353Z,64.0,27.772,27.772
Nutria make a variety of noises and here is one of them #animals #wildlife #nature,https://www.youtube.com/watch?v=yxO630uNE5U,The  1 Carrot Crew ,https://www.youtube.com/channel/UCcV7CewwStmiA97PcqgvRfg,2026-04-06T17:00:57.012Z,64.0,795.341,64.0
They came in Fast #wildlife #nature #animals,https://www.youtube.com/watch?v=XOd-FkMNlBw,The  1 Carrot Crew ,https://www.youtube.com/channel/UCcV7CewwStmiA97PcqgvRfg,2026-04-06T16:57:49.304Z,67.0,187.708,67.0
Yep They are Nutria the world's 12th largest rodent #nature #naturelovers #naturevibes,https://www.youtube.com/watch?v=VqhJIDRTM-I,The  1 Carrot Crew ,https://www.youtube.com/channel/UCcV7CewwStmiA97PcqgvRfg,2026-04-06T16:57:38.744Z,81.0,10.56,10.56
Tater took the entire piece of watermelon  #animals #wildlife #nature,https://www.youtube.com/watch?v=VcESJ_lh2cM,The  1 Carrot Crew ,https://www.youtube.com/channel/UCcV7CewwStmiA97PcqgvRfg,2026-04-06T16:57:08.309Z,76.0,30.435,30.435
Blessings come in all shapes and sizes #wildlife #animals #nature,https://www.youtube.com/watch?v=vLGF_sdoWpQ,The  1 Carrot Crew ,https://www.youtube.com/channel/UCcV7CewwStmiA97PcqgvRfg,2026-04-06T16:53:46.641Z,80.0,201.668,80.0
We can all live together.,https://www.youtube.com/watch?v=Wv8L9XaLbtQ,The  1 Carrot Crew ,https://www.youtube.com/channel/UCcV7CewwStmiA97PcqgvRfg,2026-04-06T16:45:16.907Z,114.0,509.734,114.0
My Life with The Carrot Crew ❤️,https://www.youtube.com/watch?v=w8CZI6se9ww,The  1 Carrot Crew ,https://www.youtube.com/channel/UCcV7CewwStmiA97PcqgvRfg,2026-04-06T16:37:59.685Z,130.0,437.222,130.0
"May 7, 2024",https://www.youtube.com/watch?v=GehdvBStd40,The  1 Carrot Crew ,https://www.youtube.com/channel/UCcV7CewwStmiA97PcqgvRfg,2026-04-06T16:37:11.507Z,64.0,48.178,48.178
Fishbone - Sunless Saturday,https://www.youtube.com/watch?v=0B61XAN2Ujw,FishboneVEVO,https://www.youtube.com/channel/UCJvYe99yk0r8VHlN-d3QXMw,2026-04-06T04:11:01.341Z,258.0,44770.166,258.0
Minutemen - Little man with a gun in his hand,https://www.youtube.com/watch?v=uTVl_2ENTXo,cerinobalzano,https://www.youtube.com/channel/UCzyjfdkAmiRCOjJGuUVbqYg,2026-04-06T04:10:34.920Z,193.0,26.421,26.421
Mexicola | Queens Of The Stone Age | From The Basement,https://www.youtube.com/watch?v=9oz3BLU3O3Y,From The Basement,https://www.youtube.com/channel/UCGxLOaA_QnWLhTnf5depKLg,2026-04-06T04:10:27.902Z,332.0,7.018,7.018
The Presidents of the United States of America - We Are Not Going to Make It (Lyric Video),https://www.youtube.com/watch?v=SAQ8OCPwyo4,The Presidents of the United States of America,https://www.youtube.com/channel/UCYgyV5FLZq_x1hMbCTf3LvQ,2026-04-06T04:02:43.570Z,113.0,464.332,113.0
Before I Forget,https://www.youtube.com/watch?v=UXcB1X9G1Uo,Slipknot - Topic,https://www.youtube.com/channel/UCh9xZWuDWSMeedunotdYYrQ,2026-04-06T03:56:31.528Z,265.0,372.042,265.0
System Of A Down - B.Y.O.B. (Official HD Video),https://www.youtube.com/watch?v=zUzd9KyIDrM,systemofadownVEVO,https://www.youtube.com/channel/UCvtZDkeFxMkRTNqfqXtxxkw,2026-04-06T03:49:14.667Z,263.0,436.861,263.0
Mudvayne - Not Falling (Official Video),https://www.youtube.com/watch?v=uhqRMzoyV4g,mudvayneVEVO,https://www.youtube.com/channel/UCkbHmcDo0qkIs1x8RIWTeBw,2026-04-06T03:45:48.180Z,203.0,206.487,203.0
Chainsaw Myth BUSTED!,https://www.youtube.com/watch?v=-E7tNPLZVgQ,Chickanic,https://www.youtube.com/channel/UC-tQIeakd3uaiAAwjYHSy9Q,2026-04-06T03:31:51.954Z,781.0,836.226,781.0
You'll DESTROY Your Chainsaw If You Take His Advice!,https://www.youtube.com/watch?v=9hanLeo1RnE,Chickanic,https://www.youtube.com/channel/UC-tQIeakd3uaiAAwjYHSy9Q,2026-04-06T03:13:17.923Z,789.0,1114.031,789.0
Husqvarna vs Stihl Chainsaws Why I Switched to Stihl,https://www.youtube.com/watch?v=xIDOke6-Dgs,Wilson Forest Lands,https://www.youtube.com/channel/UCB_ZWwxtSoX2Y7smVA4r-DQ,2026-04-05T16:54:16.935Z,586.0,37140.988,586.0
