title,link,channel,channel_link,date,video_length,time_diff,watch_time
Corona Extra | Chairs - Just a Lime | EL | :15,https://www.youtube.com/watch?v=nkyZNQ7tXQA,,,2026-02-10T00:03:59.418Z,16.0,,16.0
PKTV 000113990 000299778,https://www.youtube.com/watch?v=WV5IqTP96tg,,,2026-02-10T00:03:50.456Z,16.0,8.962,8.962
Advil No Pain  More Gain  Basketball  CON OLV 16x9 6s en USA 1114743,https://www.youtube.com/watch?v=X1lJAM1jPBo,,,2026-02-10T00:03:43.637Z,7.0,6.819,6.819
What Can’t You Do :15 | Capella University,https://www.youtube.com/watch?v=ReslOZlyRhM,,,2026-02-10T00:03:27.692Z,16.0,15.945,15.945
Ice Spice | Spark something Beautiful | :06s,https://www.youtube.com/watch?v=7jz6ljxpHrU,,,2026-02-10T00:03:20.946Z,7.0,6.746,6.746
Protecting The Safe Zone From Infected...(Quarantine Zone Episode 7),https://www.youtube.com/watch?v=hPUBkOTOn6M,MoreCaseOh,https://www.youtube.com/channel/UCr1kbyiJzl-x5YYDxhYJuPw,2026-02-10T00:03:19.664Z,3361.0,1.282,1.282
Oakley Meta | Athletic Intelligence is Here,https://www.youtube.com/watch?v=NerlyGrv7WM,,,2026-02-10T00:03:11.257Z,61.0,8.407,8.407
TREMFYA UC & CD Now Approved 45s TVC,https://www.youtube.com/watch?v=eLR9_6c5OIg,,,2026-02-09T23:39:12.544Z,46.0,1438.713,46.0
NEW LASH SENSATIONAL BODY MASCARA,https://www.youtube.com/watch?v=sxnU0-xFuk8,,,2026-02-09T23:39:04.276Z,16.0,8.268,8.268
"Perfect for your BFF, your child, your partner, or yourself.",https://www.youtube.com/watch?v=5TvM6AqN0gA,,,2026-02-09T23:38:53.446Z,10.0,10.83,10.0
Pop Quiz 15s,https://www.youtube.com/watch?v=n8MYIsWZShw,,,2026-02-09T23:38:37.487Z,16.0,15.959,15.959
Corona Sunbrew | OrangeYLime :06,https://www.youtube.com/watch?v=8L_VIHlq__o,,,2026-02-09T23:38:30.529Z,7.0,6.958,6.958
Stand Out in Your Career | SNHU Commercial :30 (5/1/25),https://www.youtube.com/watch?v=4BPUe5romMw,,,2026-02-09T23:26:18.984Z,31.0,731.545,31.0
RTL 30s Campaign Video,https://www.youtube.com/watch?v=L9td5nY_eT4,,,2026-02-09T23:03:29.529Z,30.0,1369.455,30.0
Liquid I.V. 2026 - Take A Look,https://www.youtube.com/watch?v=vV_VzpDYxKU,,,2026-02-09T23:02:51.866Z,16.0,37.663,16.0
The Bilt Palladium Card,https://www.youtube.com/watch?v=C-4f4mPeQtM,,,2026-02-09T22:15:37.017Z,12.0,2834.849,12.0
Origin Story video,https://www.youtube.com/watch?v=g0M84n8tq2Y,,,2026-02-09T22:15:16.424Z,16.0,20.593,16.0
Cotton Farms - $3000 Closing Costs Incentive,https://www.youtube.com/watch?v=Mx1T5RR_qFI,,,2026-02-09T21:42:31.843Z,11.0,1964.581,11.0
watermark-LogoFriendGroup_Testerup_Landscape_Video_6_Pooled_US_20250801.mp4,https://www.youtube.com/watch?v=ZZ77Hs93gpk,,,2026-02-09T21:42:25.708Z,7.0,6.135,6.135
Sunday School Teacher Realizes She’s Going To Death Row,https://www.youtube.com/watch?v=ag9-VE1acoM,Red Tree Crime,https://www.youtube.com/channel/UCaSOD17PCFgtDq5wwSYzK9g,2026-02-09T21:33:10.528Z,1995.0,555.18,555.18
"Micro Changes, Big Results from Noom",https://www.youtube.com/watch?v=Gv38-OwGYoA,,,2026-02-09T21:33:02.163Z,16.0,8.365,8.365
Three Cushy Layers :15 - Quilted Queens | Quilted Northern®,https://www.youtube.com/watch?v=dTtaLtENAzg,,,2026-02-09T21:32:46.838Z,16.0,15.325,15.325
Elvive HA Plump Dropper 16x9,https://www.youtube.com/watch?v=7606eBxyQfo,,,2026-02-08T05:50:11.859Z,15.0,142954.979,15.0
Explorer Wine Evergreen 6s,https://www.youtube.com/watch?v=kM83amSHzic,,,2026-02-08T05:50:04.973Z,7.0,6.886,6.886
Nauzene Relief Seekers Hotline,https://www.youtube.com/watch?v=2pJNSP7Pw1o,,,2026-02-08T05:49:49.169Z,16.0,15.804,15.804
NC All Around (:15),https://www.youtube.com/watch?v=YDIhj8hSzMo,,,2026-02-08T05:49:33.247Z,16.0,15.922,15.922
Oakley Meta | Lock-In,https://www.youtube.com/watch?v=GMDcIH1FsoI,,,2026-02-08T05:49:26.309Z,7.0,6.938,6.938
PKTV 000115560 000302326,https://www.youtube.com/watch?v=0Msj4ynq-yQ,,,2026-02-08T05:35:52.226Z,31.0,814.083,31.0
Skin Relief Lotion 18oz New Bottle | 15s TrueView,https://www.youtube.com/watch?v=zcJveejri2Q,,,2026-02-08T05:35:36.323Z,15.0,15.903,15.0
PG 25 1284150 AlanThomas06 16x9 1080 MK,https://www.youtube.com/watch?v=KyGfYEVWfvg,,,2026-02-08T05:35:29.457Z,7.0,6.866,6.866
(1391)SBK NFL ALL B5G200BW 2026 SuperBowl Toast 15 16x9,https://www.youtube.com/watch?v=IUGzs6Tne4U,,,2026-02-08T05:35:13.663Z,16.0,15.794,15.794
I Worked A Week At A Haunted Supermarket (Hellmart Full Game),https://www.youtube.com/watch?v=lkDHaFAYXV4,CaseOh,https://www.youtube.com/channel/UC63anZxfVGHUEmfBAf5w7pw,2026-02-08T05:23:02.412Z,11330.0,731.251,731.251
Video Ad,https://www.youtube.com/watch?v=akSdwPudDRU,,,2026-02-08T05:22:55.208Z,16.0,7.204,7.204
Meet Tabby.,https://www.youtube.com/watch?v=Wdjfuc6ShRM,,,2026-02-08T05:22:39.328Z,16.0,15.88,15.88
Sunday School Teacher Realizes She’s Going To Death Row,https://www.youtube.com/watch?v=ag9-VE1acoM,Red Tree Crime,https://www.youtube.com/channel/UCaSOD17PCFgtDq5wwSYzK9g,2026-02-08T01:51:33.523Z,1995.0,12665.805,1995.0
AD | Balancing Life & Goals with University of Phoenix,https://www.youtube.com/watch?v=WmzVzlsKzEk,,,2026-02-08T01:51:26.560Z,30.0,6.963,6.963
Three Cushy Layers :15 - Quilted Queens | Quilted Northern®,https://www.youtube.com/watch?v=dTtaLtENAzg,,,2026-02-08T01:51:11.389Z,16.0,15.171,15.171
