title,link,channel,channel_link,date,video_length,time_diff,watch_time
New M1 Garand is OP,https://www.youtube.com/watch?v=EOc_rC7_MMA,Feitz - PUBG Mobile,https://www.youtube.com/channel/UCl7VIqq2I8peE47dt7FE6bA,2026-03-18T12:41:17.047Z,697,,697.0
The $82 DIY Busbar That Beats the $630 Victron Class-T Power-in,https://www.youtube.com/watch?v=YYpshjsL-3U,Cleversolarpower by Nick,https://www.youtube.com/channel/UCclJPjqKmUxEBslTDeJySww,2026-03-18T12:19:00.887Z,710,1336.16,710.0
3 surprising ways microplastics can enter your body,https://www.youtube.com/watch?v=lQRsqMiBTsI,TED-Ed,https://www.youtube.com/channel/UCsooa4yRKGN_zEE8iknghZA,2026-03-18T12:04:19.167Z,370,881.72,370.0
Oppo Find N6 Review: Likely Best Foldable of 2026,https://www.youtube.com/watch?v=1CSGykPtNAM,ben's gadget reviews,https://www.youtube.com/channel/UCYGiWMEIKXL2EhIfPSUSmvg,2026-03-18T11:35:41.169Z,822,1717.998,822.0
"Oppo Find N6 Review: The ""Zero Compromise"" Foldable?",https://www.youtube.com/watch?v=4ATnadlQex4,MrMobile [Michael Fisher],https://www.youtube.com/channel/UCSOpcUkE-is7u7c4AkLgqTw,2026-03-18T11:21:51.765Z,878,829.404,829.404
CATL 104Ah vs EVE 105Ah LFP Cell: $8 Cheaper BUT BETTER Performance,https://www.youtube.com/watch?v=NzhT183tRf0,Starmax Energy for Lithium ion battery,https://www.youtube.com/channel/UCfEljiuS1B7Jfr4tujkXgYw,2026-03-18T11:15:57.688Z,535,354.077,354.077
OPPO Find N6 Review RIP Galaxy Z Fold 7!,https://www.youtube.com/watch?v=NfmJJ0gjzWo,TechTablets,https://www.youtube.com/channel/UCrI6_31b1OHRE62BHTMYN0Q,2026-03-17T19:13:52.258Z,1504,57725.43,1504.0
"Space Solar Farms, Blue Straggler Stars, & Earth’s Escape Plan",https://www.youtube.com/watch?v=fG16WqtuWjA,StarTalk,https://www.youtube.com/channel/UCqoAEDirJPjEUFcF2FklnBA,2026-03-17T18:19:41.698Z,2542,3250.56,2542.0
Live at SXSW 2026: Can They Convince Marques to Shoot 24fps?,https://www.youtube.com/watch?v=TFCsPFXbxJo,WVFRM Podcast,https://www.youtube.com/channel/UCEcrRXW3oEYfUctetZTAWLw,2026-03-17T17:19:15.219Z,3921,3626.479,3626.479
USB: The Last Guide You’ll Ever Need,https://www.youtube.com/watch?v=E2KfkGF77uo,Techquickie,https://www.youtube.com/channel/UC0vBXGSyV14uvJ4hECDOl0Q,2026-03-17T11:14:02.339Z,630,21912.88,630.0
"Please, Make It Slop - DLSS 5",https://www.youtube.com/watch?v=YoGoayBUR-Y,TechLinked,https://www.youtube.com/channel/UCeeFfhMcJa1kjtfZAGskOCA,2026-03-17T11:02:00.822Z,576,721.517,576.0
Lawnchair 15: The New King of Android Launchers?,https://www.youtube.com/watch?v=Zj9VC5D60e8,9to5Google,https://www.youtube.com/channel/UCzIO0iX4yKW2P4NkmmKq1PA,2026-03-16T18:01:22.907Z,387,61237.915,387.0
Lenovo 140W USB C Charger,https://www.youtube.com/watch?v=zwJo53_wEno,AllThingsOnePlace,https://www.youtube.com/channel/UCNt-VKnOf-6-vVYqdiI_K8g,2026-03-16T17:43:18.138Z,715,1084.769,715.0
Are We Creating Objective Reality or Finding it? With Charles Liu | Cosmic Queries #107,https://www.youtube.com/watch?v=IULKVbRJYow,StarTalk,https://www.youtube.com/channel/UCqoAEDirJPjEUFcF2FklnBA,2026-03-16T17:43:07.419Z,3825,10.719,10.719
Situationships Play Truth or Drink | Cut,https://www.youtube.com/watch?v=qZQoF5GF7XI,Cut,https://www.youtube.com/channel/UCbaGn5VkOVlcRgIWAHcrJKA,2026-03-16T17:23:59.979Z,884,1147.44,884.0
