title,link,channel,channel_link,date,video_length,time_diff,watch_time
Waterpik™ Pik Pocket™ Tip,https://www.youtube.com/watch?v=vk2whM-BlFY,Waterpik,https://www.youtube.com/channel/UCpolZDY_owyTJb3ACt8bJYw,2026-04-08T15:25:28.755Z,8.0,,8.0
#ad | Trying The Waterpik™ Aquarius™ Water Flosser For The First Time | #shorts,https://www.youtube.com/watch?v=Y3y5m9P9DtE,Waterpik,https://www.youtube.com/channel/UCpolZDY_owyTJb3ACt8bJYw,2026-04-08T15:24:43.676Z,38.0,45.079,38.0
Why I Always Carry $50k in CASH,https://www.youtube.com/watch?v=5vtZP-wHuQ8,Caleb Hammer,https://www.youtube.com/channel/UCLe_q9axMaeTbjN0hy1Z9xA,2026-04-08T15:24:29.845Z,44.0,13.831,13.831
Ukraine Conducted a UAV Swarm Strike on Russian targets in and near the Port of Novorossiysk.,https://www.youtube.com/watch?v=1m5SLT8fjjk,Kagan Dunlap,https://www.youtube.com/channel/UC63Tq5qh0QCKemBSHnXuF5Q,2026-04-08T14:12:17.380Z,56.0,4332.465,56.0
Ranking Supplements,https://www.youtube.com/watch?v=4i9xBIWzG5s,Cesare Pizzelli,https://www.youtube.com/channel/UCD7ygSrX7CB5uKpcPLtJUUg,2026-04-08T14:11:29.732Z,47.0,47.648,47.0
Bro Timed This WAY Too Perfectly...,https://www.youtube.com/watch?v=_gftg4LVr4E,The Burnt Peanut Shorts,https://www.youtube.com/channel/UCOfQQoEvDfRn9EdlDJQkqaw,2026-04-08T14:11:15.507Z,46.0,14.225,14.225
80-Year-Old Store Clerk Ready for Armed Robbers w/Shotgun,https://www.youtube.com/watch?v=AfYtBscrJPw,USA Carry,https://www.youtube.com/channel/UCtPnkNCHffyHAXJtHL3m-ww,2026-04-08T14:11:12.788Z,30.0,2.719,2.719
Theo Von on His Most Traumatic Experience,https://www.youtube.com/watch?v=rA75i9d5aDc,Theo Cuts,https://www.youtube.com/channel/UCmDhViamHqqQY0l6VKeBxoQ,2026-04-08T14:10:55.222Z,16.0,17.566,16.0
Peanut can't believe voice trigger technology #shorts #theburntpeanut,https://www.youtube.com/watch?v=r-qvYA5auz4,DrUnafraid Clips,https://www.youtube.com/channel/UCBQL9U2OwmbXsXLdnqQV6zQ,2026-04-08T14:09:51.189Z,78.0,64.033,64.033
Spinning around the ✨World ✨ #happy #travel #smile #spinningaroundworld #spinningaround #hotspring,https://www.youtube.com/watch?v=80gOJ1aYXj0,Spinning around the World,https://www.youtube.com/channel/UCFdFTjP3l70RHdxxyS504Og,2026-04-08T14:09:47.146Z,20.0,4.043,4.043
The MOST SECRET Unit!,https://www.youtube.com/watch?v=LW__C5zGU2g,Shawn Ryan Shorts,https://www.youtube.com/channel/UCPys4pjDBWFTeYGvY9Edteg,2026-04-08T14:09:45.984Z,64.0,1.162,1.162
I'm NOT suppose to have this...,https://www.youtube.com/watch?v=PpxJfUiZgUg,LVNDMARK,https://www.youtube.com/channel/UCOhsgjMEyldgS04MiP2x-zA,2026-04-08T14:09:14.542Z,55.0,31.442,31.442
Ranking Most Expensive Fails,https://www.youtube.com/watch?v=b5w1WMT1_IA,MAMBA EDITS,https://www.youtube.com/channel/UC4GeTXbWmifkzvbpIG-ffLA,2026-04-08T14:09:12.495Z,34.0,2.047,2.047
The Military Kept This Secret for 35 Days 😳,https://www.youtube.com/watch?v=iIVI_OWXm3U,Shawn Ryan Show,https://www.youtube.com/channel/UCkoujZQZatbqy4KGcgjpVxQ,2026-04-08T14:09:11.185Z,57.0,1.31,1.31
Aint No Way | RUST,https://www.youtube.com/watch?v=jyAcvvS5ZEA,TheBurntPeanut,https://www.youtube.com/channel/UCMNEVbszv8ZyvSXoTn3yhpQ,2026-04-08T14:08:41.808Z,45.0,29.377,29.377
New Strikes On Iran's Kharg Island According to Iran's Mehr News Agency On 7 APR 2026.,https://www.youtube.com/watch?v=HHuvbzCmM1Q,Kagan Dunlap,https://www.youtube.com/channel/UC63Tq5qh0QCKemBSHnXuF5Q,2026-04-08T14:08:38.388Z,75.0,3.42,3.42
Thank you to the fitness tracker #cheating #cheater #couple #ex,https://www.youtube.com/watch?v=EmjAoWMlNsI,Mike096,https://www.youtube.com/channel/UCkQMfEviJT3s5UYN1FpeEUA,2026-04-08T14:08:33.229Z,44.0,5.159,5.159
What is your status,https://www.youtube.com/watch?v=fFl0kcQuntY,Wahida USA vlog,https://www.youtube.com/channel/UCRnSbyHOcqrV3jlhcfalxEg,2026-04-08T14:08:27.534Z,,5.695,5.695
Peanuts An Addict,https://www.youtube.com/watch?v=mqpGRgJZizo,Burntpeanutclips,https://www.youtube.com/channel/UC9f0oiLZcNeaq39tJ2t3e3A,2026-04-08T14:08:24.971Z,99.0,2.563,2.563
US Navy Tomahawk Land Attack Missile Flying Over Tehran on 7 APR 2026.,https://www.youtube.com/watch?v=cAe_mn75bvE,Kagan Dunlap,https://www.youtube.com/channel/UC63Tq5qh0QCKemBSHnXuF5Q,2026-04-08T14:07:16.275Z,68.0,68.696,68.0
Peanut Ended Rust Drama and Why It's Poison #shorts #theburntpeanut,https://www.youtube.com/watch?v=Ow-ahfecwqU,DrUnafraid Clips,https://www.youtube.com/channel/UCBQL9U2OwmbXsXLdnqQV6zQ,2026-04-08T14:06:22.921Z,88.0,53.354,53.354
Love To Hear It 😭,https://www.youtube.com/watch?v=8T73nO8MBhE,StompnWorld,https://www.youtube.com/channel/UCJ8LW5mfKP4WEDjoQQawUhg,2026-04-08T14:05:56.694Z,25.0,26.227,25.0
Coach O Reveals How He REALLY Recruited Joe Burrow To LSU 😳 #nfl,https://www.youtube.com/watch?v=svXRqzhF5M4,ResurgeStories,https://www.youtube.com/channel/UCC2vhom5ROv8qFb4Beqk0Sg,2026-04-08T14:05:55.353Z,51.0,1.341,1.341
Intrusive thoughts almost won #cheer #stunt #shorts,https://www.youtube.com/watch?v=0IHFyeoA0i8,Daniel Buyeske,https://www.youtube.com/channel/UC5Sy3SW5bltZcP6mKVJvBuQ,2026-04-08T14:05:51.254Z,30.0,4.099,4.099
Peant Kept Spam Calling Summit,https://www.youtube.com/watch?v=8QRd4MeSsFs,Burntpeanutclips,https://www.youtube.com/channel/UC9f0oiLZcNeaq39tJ2t3e3A,2026-04-08T14:05:50.293Z,101.0,0.961,0.961
"The CIA Secret ""Ghost Murmur"" Tool That Was Used To Find The F-15E WSO by Locating His Heartbeat",https://www.youtube.com/watch?v=wbBxE8k8L1s,Kagan Dunlap,https://www.youtube.com/channel/UC63Tq5qh0QCKemBSHnXuF5Q,2026-04-08T14:02:52.258Z,171.0,178.035,171.0
I found SCAV JESUS,https://www.youtube.com/watch?v=QYCGmrEvgns,LVNDMARK,https://www.youtube.com/channel/UCOhsgjMEyldgS04MiP2x-zA,2026-04-08T14:02:22.044Z,26.0,30.214,26.0
What REALLY Happens to Your Body When Visceral Fat Begins to Let Go ?,https://www.youtube.com/watch?v=8gUHEE6I9vQ,Nabby,https://www.youtube.com/channel/UCEOD-IJyalMNF3RPxWEFXiQ,2026-04-08T13:17:05.276Z,292.0,2716.768,292.0
Peanut & Gingy Meet The Australian's...,https://www.youtube.com/watch?v=WolNZBpJWA0,The Burnt Peanut Shorts,https://www.youtube.com/channel/UCOfQQoEvDfRn9EdlDJQkqaw,2026-04-08T13:17:02.898Z,164.0,2.378,2.378
There’s still something there… #yt #ytshorts #comedy #skit,https://www.youtube.com/watch?v=IZ3cfomcgZY,Madison Humphrey,https://www.youtube.com/channel/UCcG-iX-T4IDLjqFk7-WyN4A,2026-04-08T13:17:00.592Z,67.0,2.306,2.306
Theo Von Breaks Ella Langley 😂,https://www.youtube.com/watch?v=uSvp5IvbD5A,Theo Cuts,https://www.youtube.com/channel/UCmDhViamHqqQY0l6VKeBxoQ,2026-04-08T13:16:28.344Z,21.0,32.248,21.0
who you trying this with? ❤️‍🔥 #gym #challenge #shorts,https://www.youtube.com/watch?v=sKZONKk5LKQ,Mike n Isla,https://www.youtube.com/channel/UCAQDrd16pF2lxKxhfpPjpcg,2026-04-08T13:16:25.050Z,15.0,3.294,3.294
Yall wait a minute now… 👀🍌🍇🍒🍉🍎,https://www.youtube.com/watch?v=wDgtAQ-xd6A,kelsey darragh,https://www.youtube.com/channel/UCcRxzzonHt6OfpV5HotZIPA,2026-04-08T13:16:23.741Z,24.0,1.309,1.309
Cinna Thought She Had Lacy 😭😂,https://www.youtube.com/watch?v=Gvj0iHY10rs,Cinna LIVE,https://www.youtube.com/channel/UCV6Z7q3Zz-VbXCUW9AkqAFg,2026-04-08T13:16:00.761Z,24.0,22.98,22.98
Peanut Forgot He Wasn’t Muted 😭#theburntpeanut #gingy #gaming #streamermoments #twitch #funny #muted,https://www.youtube.com/watch?v=EPETNJ18-8o,Best Of TheBurntPeanut,https://www.youtube.com/channel/UCuiVcZjU1rP0c9xAbN9wuHA,2026-04-08T13:15:59.156Z,44.0,1.605,1.605
Finance Babe/ Bro set the rules of Roster Romance 📈🤫 #austenalexander #financebro,https://www.youtube.com/watch?v=U6BdJJkRc3U,Austen Alexander TV,https://www.youtube.com/channel/UC0KI9ocfuIS0clEug0uO7UQ,2026-04-08T13:15:57.095Z,57.0,2.061,2.061
Gingy and Hutch destroyed Cloakzy's entire base in RUST #shorts,https://www.youtube.com/watch?v=koEkRqQdeAI,DrUnafraid Clips,https://www.youtube.com/channel/UCBQL9U2OwmbXsXLdnqQV6zQ,2026-04-08T13:14:39.662Z,51.0,77.433,51.0
Finally People Are Saying It 😭,https://www.youtube.com/watch?v=79NOuoQxb9c,StompnWorld,https://www.youtube.com/channel/UCJ8LW5mfKP4WEDjoQQawUhg,2026-04-08T13:13:39.733Z,51.0,59.929,51.0
Pull-Apart Focaccia Pizza! Perfect for pizza parties 🎉🍕,https://www.youtube.com/watch?v=Jt5LpZtu8Ts,Rapid Recipes,https://www.youtube.com/channel/UCNX4sdxeH1u2ixwjM_eUvNg,2026-04-08T13:13:33.381Z,24.0,6.352,6.352
yall wait a minute now...,https://www.youtube.com/watch?v=1JUQeCO38n8,kelsey darragh,https://www.youtube.com/channel/UCcRxzzonHt6OfpV5HotZIPA,2026-04-08T13:13:29.536Z,24.0,3.845,3.845
Paw around and find out... 🐈😹 #sheroncomedy #cat #funny,https://www.youtube.com/watch?v=G1wX6jR-zu0,Sheron Comedy Network,https://www.youtube.com/channel/UCXYk756eFPDX6ZKy-WN6pcg,2026-04-08T13:13:28.084Z,29.0,1.452,1.452
Peanut Just CLAPPED BACK At The Haters! 🤖 | #arcraiders #theburntpeanut,https://www.youtube.com/watch?v=_NXP5f5IF9Y,The Daily Bungulator,https://www.youtube.com/channel/UCVwOm7EJ1qBzFmQsQkP55tA,2026-04-08T13:12:42.657Z,47.0,45.427,45.427
Never Going To This Gym Again 🫣,https://www.youtube.com/watch?v=AnB4nCWavtc,Demi Bagby,https://www.youtube.com/channel/UCJXbWTkXCIvL2unItjB3G4Q,2026-04-08T13:12:30.824Z,26.0,11.833,11.833
#fact #facts #viralshort #busker  #morning #nightpost  #workout #usareels #basketball #airplane,https://www.youtube.com/watch?v=2jSZyXqOWyQ,Lincorlos,https://www.youtube.com/channel/UCs_QXzA8_j3725mAx4t9BEQ,2026-04-08T13:12:29.582Z,11.0,1.242,1.242
Calling my fiancé 'mummy' at a drive thru #couple #prank,https://www.youtube.com/watch?v=IqLA0xYyKkc,Chlo & Matt,https://www.youtube.com/channel/UCZydaZQXul_-NMzwe6eByjg,2026-04-08T13:12:28.046Z,64.0,1.536,1.536
Fighting words #shortsfeed #shorts #funny #husbandwife #comedy #youtubeshorts #reels #ytshorts #love,https://www.youtube.com/watch?v=TczOplgPYZI,Marriedwithflaws,https://www.youtube.com/channel/UCb-MoFyHrcTUWN5ZS16vIAw,2026-04-08T13:12:19.251Z,29.0,8.795,8.795
I'm sorry you have to be 21 #foryou,https://www.youtube.com/watch?v=txPjwgAjkh8,The Yuri Diary ,https://www.youtube.com/channel/UCseRSmqj0599cl2upoZkyHQ,2026-04-08T13:11:55.065Z,,24.186,24.186
When the Mother-in-law is in town #family #love #joke #prank,https://www.youtube.com/watch?v=gpFxbtvYlgs,D.Michael Harrison,https://www.youtube.com/channel/UCa5tDAfqLhFDEPqmF0XUUyQ,2026-04-08T13:11:37.253Z,22.0,17.812,17.812
"Don’t React! — 2 water, 1 tequila 🙈 #tequila #challenge",https://www.youtube.com/watch?v=jqxgFc3TAQg,Random Sam,https://www.youtube.com/channel/UCIv61ROR5Nrr6BneIsBIWPA,2026-04-08T13:11:26.910Z,42.0,10.343,10.343
Battlefield Bad Company 2 Voice Lines Are Legendary 😭 #battlefield #singleplayer,https://www.youtube.com/watch?v=GWEMkFiqTjk,Elina,https://www.youtube.com/channel/UCZBRLTVr1ZITpLsRGC-saGA,2026-04-08T13:11:10.591Z,57.0,16.319,16.319
wife haul #shorts,https://www.youtube.com/watch?v=YeogC76kfic,Janie Ippolito,https://www.youtube.com/channel/UC819D6k2rDQU2dL-w13BVUQ,2026-04-08T13:10:57.568Z,55.0,13.023,13.023
Ranking the Funniest Between Two Ferns Moments,https://www.youtube.com/watch?v=lGa_8bDoEdM,AidenAstra,https://www.youtube.com/channel/UCq3AGvDMryWSl-S8sHgod6g,2026-04-08T13:10:46.110Z,67.0,11.458,11.458
Please tell me how she did! #goth #gothtok #vases,https://www.youtube.com/watch?v=bqeTHvc_f9c,VoidVessels,https://www.youtube.com/channel/UCvTtHwfo_2RT-VzS70PNcCQ,2026-04-08T13:10:29.182Z,,16.928,16.928
Cinna Gets Cooked By Sketch,https://www.youtube.com/watch?v=-jFJeTPxclA,Cinna,https://www.youtube.com/channel/UC8I_85S7LB_-gPG8UceWzJg,2026-04-08T13:09:52.146Z,35.0,37.036,35.0
The AK was the freebie. The suppressor was the real deal.,https://www.youtube.com/watch?v=hKFD8jYxF5A,CineSavvy,https://www.youtube.com/channel/UCfRHYgBTw5PuBX6kl7hBkWw,2026-04-08T13:09:50.406Z,102.0,1.74,1.74
Peanut Trolling Nickmercs About His PC 😂#theburntpeanut #gaming #nickmercs #streamermoments #twitch,https://www.youtube.com/watch?v=XKi0CEq95Ls,Best Of TheBurntPeanut,https://www.youtube.com/channel/UCuiVcZjU1rP0c9xAbN9wuHA,2026-04-08T13:08:36.729Z,63.0,73.677,63.0
Is Peanut Okay??💀#theburntpeanut #gaming #streamermoments #twitch #shorts #funny #comedy,https://www.youtube.com/watch?v=yN4vcvju6io,Best Of TheBurntPeanut,https://www.youtube.com/channel/UCuiVcZjU1rP0c9xAbN9wuHA,2026-04-08T13:08:19.330Z,17.0,17.399,17.0
When I’m bored but I have a wife🤣🤣🤣#funny#prank#couple#funnyvideos#usaua,https://www.youtube.com/watch?v=eWpID1afrrs,Rabsbd absbdv Fabsjx,https://www.youtube.com/channel/UCrz2JpoddFs6qiArM-6B_ig,2026-04-08T13:08:07.689Z,56.0,11.641,11.641
Most craziest gaming setups 😎,https://www.youtube.com/watch?v=H2OkXlOW1IU,cocovyse,https://www.youtube.com/channel/UCpqUZ7NNTRJr6tzovchk3Tg,2026-04-08T13:08:06.006Z,,1.683,1.683
