title,link,channel,channel_link,date,video_length,time_diff,watch_time
YouTube History Extraction Tutorial,https://www.youtube.com/watch?v=0JP_uwa8FAE,Manoel Ribeiro,https://www.youtube.com/channel/UC5eHANjJG5ooFdIu4S1-3jQ,2026-04-26T16:26:45.997Z,64.0,,64.0
She Called 911 For Pizza 🍕,https://www.youtube.com/watch?v=Q8tznDAEPSw,His Story,https://www.youtube.com/channel/UCrwSMlDM6FGLwHOtZ5JZpVA,2026-04-26T15:50:30.215Z,110.0,2175.782,110.0
Wild giants with cute cat habits🐱#digcat #cuteanimal,https://www.youtube.com/watch?v=kTZznuIlr80,Maybe ,https://www.youtube.com/channel/UCQr6djfciFk5Tp0f_fAZXaw,2026-04-26T15:49:18.514Z,60.0,71.701,60.0
When Cats Forget They’re Supposed To Be Cool 🤣Top 5 Cutest Cat Moments Ranked #catranking #cutecat,https://www.youtube.com/watch?v=YRnuSuFHZfA,Cat Ranking ,https://www.youtube.com/channel/UC4YyBY0kuTRtPOcJdQx9VzQ,2026-04-26T15:48:30.517Z,23.0,47.997,23.0
Joke of a day‼️‼️,https://www.youtube.com/watch?v=QFn-yAJhmg4,oscar,https://www.youtube.com/channel/UCsXeXX4RJlKKuTC4IXDnuMw,2026-04-26T15:48:15.769Z,8.0,14.748,8.0
Hypercars Shake Up Round 3 of the Distance Championship,https://www.youtube.com/watch?v=J0skuiwUH2Q,JonRacer3,https://www.youtube.com/channel/UCEtb1i2keUyNRFmtKln8zWQ,2026-04-26T15:45:49.041Z,146.0,146.728,146.0
Getting my new friend to name items!￼,https://www.youtube.com/watch?v=nsyMj43rOPA,wooblyVR,https://www.youtube.com/channel/UCVgkBjZPRbSSEr1U183CZqA,2026-04-26T15:45:42.427Z,43.0,6.614,6.614
new give away!!! #ug #ugvr #youtube #viral,https://www.youtube.com/watch?v=grVN73Bj0f4,Izzy_the_monke,https://www.youtube.com/channel/UC1EtP7JlC8rzOy_f6I5QuAw,2026-04-26T15:45:29.279Z,11.0,13.148,11.0
Longevity Escape Velocity,https://www.youtube.com/watch?v=oPJq7KBC-KI,Thomas Mulligan,https://www.youtube.com/channel/UChC_apOWk6MSl03byUiVZRQ,2026-04-26T15:44:23.412Z,58.0,65.867,58.0
Icing Up,https://www.youtube.com/watch?v=CFIwPJokZO0,The The - Topic,https://www.youtube.com/channel/UCMiyYE15lE3d2Ots23EvZ-w,2026-04-26T15:43:00.644Z,457.0,82.768,82.768
