title,link,channel,channel_link,date,video_length,time_diff,watch_time
"Creating 1 Country to Battle 222,782 Countries in the World",https://www.youtube.com/watch?v=nAtGcJC_C_A,DruuuWu,https://www.youtube.com/channel/UCB0RoMR2-RPFtvE9rJonPiQ,2026-02-04T21:56:20.313Z,827,,827.0
Nashville Ice Storm 2026 Pt.2 || VLOG,https://www.youtube.com/watch?v=u8RGqc2Vv_w,Maggie Wilson,https://www.youtube.com/channel/UCWc08sW_VaYx1v2gJy5Nazg,2026-02-04T18:43:55.013Z,18,11545.3,18.0
A McDonald's Disaster,https://www.youtube.com/watch?v=uqk4Z_d0q3M,TheReportOfTheWeek,https://www.youtube.com/channel/UCeR0n8d3ShTn_yrMhpwyE1Q,2026-02-04T18:40:56.205Z,903,178.808,178.808
Nick Shirley Response,https://www.youtube.com/watch?v=OlyNHpEe_k4,Channel 5 with Andrew Callaghan,https://www.youtube.com/channel/UC-AQKm7HUNMmxjdS371MSwg,2026-02-03T23:50:30.403Z,952,67825.802,952.0
'Republicans should be really worried': Enten on special elections,https://www.youtube.com/watch?v=ZPcJ0EZMV6Y,CNN,https://www.youtube.com/channel/UCupvZG-5ko_eiXAupbDfxWw,2026-02-03T20:13:28.743Z,512,13021.66,512.0
The Breakfast Sandwich Challenge,https://www.youtube.com/watch?v=Uc751KUuLmk,Where is Greg,https://www.youtube.com/channel/UCspNq1wrVmf_6KMDfeKwKhA,2026-02-03T19:36:55.061Z,2185,2193.682,2185.0
Chili Cheese Coney with my baby Darryl (Mukbang),https://www.youtube.com/watch?v=xo7lDw1J47s,Chelcie Lynn,https://www.youtube.com/channel/UCgyoQGRhGeyrUKcQaHKT0Zg,2026-02-03T19:07:39.162Z,1754,1755.899,1754.0
047,https://www.youtube.com/watch?v=tGH2qOJV9Gc,Michigan Psychology,https://www.youtube.com/channel/UC4wUwApPuwwDkTKrS8gKwNg,2026-02-02T15:39:54.937Z,62,98864.225,62.0
Nashville Ice Storm 2026 || VLOG,https://www.youtube.com/watch?v=6Dn0Y8ztlSo,Maggie Wilson,https://www.youtube.com/channel/UCWc08sW_VaYx1v2gJy5Nazg,2026-01-31T21:59:37.511Z,4950,150017.426,4950.0
"Del Taco Mukbang & the Denture Dare! | Trailer Tales w/ Trailer Trash Tammy, Dave & Crystal | Ep 106",https://www.youtube.com/watch?v=lKswqDcTy9k,Trailer Tales,https://www.youtube.com/channel/UCGCXWfqaovf_vI05iW6pLdA,2026-01-31T21:06:52.849Z,3332,3164.662,3164.662
A McDonald's Disaster,https://www.youtube.com/watch?v=uqk4Z_d0q3M,TheReportOfTheWeek,https://www.youtube.com/channel/UCeR0n8d3ShTn_yrMhpwyE1Q,2026-01-31T21:06:35.569Z,903,17.28,17.28
Video1 May 2025,https://www.youtube.com/watch?v=lqXo05cKy0U,Yu Z,https://www.youtube.com/channel/UC1k37kP5zNSLjIMGyFZOISQ,2026-01-30T22:44:58.291Z,159,80497.278,159.0
"Positive Talks Ep 43 ""Back Tracking with Pastor Johnny""",https://www.youtube.com/watch?v=7iH9OCmSDKw,Chelcie Lynn Vlogs,https://www.youtube.com/channel/UCP1FBp_hEIcqbebWqN8jrOw,2026-01-30T17:35:45.939Z,1635,18552.352,1635.0
Making 80's fabric photo albums (CRAFT NIGHT),https://www.youtube.com/watch?v=EykL2nrhYbI,Chelcie Lynn Vlogs,https://www.youtube.com/channel/UCP1FBp_hEIcqbebWqN8jrOw,2026-01-29T23:25:36.841Z,2800,65409.098,2800.0
Refinishing An Old Locker For Chelcie,https://www.youtube.com/watch?v=Rkap95hC360,Where is Greg,https://www.youtube.com/channel/UCspNq1wrVmf_6KMDfeKwKhA,2026-01-28T15:32:02.726Z,2534,114814.115,2534.0
.,https://www.youtube.com/watch?v=N8d2P1hzc8c,Morgan Wack,https://www.youtube.com/channel/UCN7JjJNa2LCZgaKH7KlAFMA,2026-01-27T16:07:50.253Z,55,84252.473,55.0
TikTok Video,https://www.youtube.com/watch?v=Hb3PbmcWYps,Morgan Wack,https://www.youtube.com/channel/UCN7JjJNa2LCZgaKH7KlAFMA,2026-01-27T16:07:09.350Z,35,40.903,35.0
Study Debrief,https://www.youtube.com/watch?v=ebbY2i127mY,Example Study,https://www.youtube.com/channel/UCRvTp5d0FFvUCkNZZ0r7G2w,2026-01-26T21:22:53.546Z,163,67455.804,163.0
