title,link,channel,channel_link,date,video_length,time_diff,watch_time
"Map of India - States, Union Territories, Capitals and Largest Cities - Bharat Map (with Photos)",https://www.youtube.com/watch?v=qRIk0l7bI2w,Genius Learning,https://www.youtube.com/channel/UCmvBVmiTrR6qlG2Merzx6tQ,2026-04-07T23:01:51.525Z,481,,481.0
Top 10 SCARIEST GHOST Videos of the MONTH,https://www.youtube.com/watch?v=iKtAUaHLjnY,Nuke's Top 5,https://www.youtube.com/channel/UCBnbnH7DGXT9yBBVFbZeIwQ,2026-04-07T19:17:50.241Z,1867,13441.284,1867.0
10 Scary Ghost Videos OR Are You A BIG BABY ?,https://www.youtube.com/watch?v=e5Aiir8Y7Dw,Nuke's Top 5,https://www.youtube.com/channel/UCBnbnH7DGXT9yBBVFbZeIwQ,2026-04-07T18:53:54.777Z,1435,1435.464,1435.0
TOP 20 Scariest TIKTOK GHOST Videos of the YEAR !,https://www.youtube.com/watch?v=3yxrM-0C1DU,Nuke's Top 5,https://www.youtube.com/channel/UCBnbnH7DGXT9yBBVFbZeIwQ,2026-04-07T18:02:25.058Z,3063,3089.719,3063.0
WTF Is Going On At Walmart? | Top 20 *NEW* Freakouts,https://www.youtube.com/watch?v=USwJyrLU1CY,Public Freakouts Unleashed,https://www.youtube.com/channel/UCApa--BTrGo0VScbCEQTdMw,2026-04-07T17:57:10.913Z,1788,314.145,314.145
10 SCARY Videos OR Are You A BIG BABY ?,https://www.youtube.com/watch?v=xNrqkhHATwk,Nuke's Top 5,https://www.youtube.com/channel/UCBnbnH7DGXT9yBBVFbZeIwQ,2026-04-07T05:03:38.818Z,1272,46412.095,1272.0
10 SCARY Videos To CREEP YOU OUT,https://www.youtube.com/watch?v=84IKUryAJfI,Nuke's Top 5,https://www.youtube.com/channel/UCBnbnH7DGXT9yBBVFbZeIwQ,2026-04-07T04:39:28.713Z,1449,1450.105,1449.0
25 SCARIEST TikTok VIDEOS of 2025!,https://www.youtube.com/watch?v=_QzOMJK85vU,Nuke's Top 5,https://www.youtube.com/channel/UCBnbnH7DGXT9yBBVFbZeIwQ,2026-04-07T03:35:42.877Z,3759,3825.836,3759.0
Bad Omens - The Death Of Peace Of Mind (Lyrics) 🎵,https://www.youtube.com/watch?v=fqP84tqwESA,Bad Omens Lyrics,https://www.youtube.com/channel/UCc1swSUSp1RcF4zv0JIFMWQ,2026-04-06T19:20:09.882Z,241,29732.995,241.0
"In This Moment - ""Black Wedding feat. Rob Halford"" [OFFICIAL VIDEO]",https://www.youtube.com/watch?v=fHAi_-DOy40,In This Moment,https://www.youtube.com/channel/UC3o9YaRy8gc-lMmw_XpqgiQ,2026-04-06T19:15:39.084Z,270,270.798,270.0
