title,link,channel,channel_link,date,video_length,time_diff,watch_time
YouTube History Extraction Tutorial,https://www.youtube.com/watch?v=0JP_uwa8FAE,Manoel Ribeiro,https://www.youtube.com/channel/UC5eHANjJG5ooFdIu4S1-3jQ,2026-04-27T23:06:47.270Z,64,,64.0
Happy Towns (Restored - Roland SC-88) - Golden Sun,https://www.youtube.com/watch?v=fYHsR3p1eIE,Vincent Dortel,https://www.youtube.com/channel/UCFicr_PyWcvtQR8EneJBHdg,2026-04-27T07:50:12.883Z,161,54994.387,161.0
Boss Battle (Restored - Roland SC-88) - Golden Sun,https://www.youtube.com/watch?v=vlRT7b235xI,Vincent Dortel,https://www.youtube.com/channel/UCFicr_PyWcvtQR8EneJBHdg,2026-04-27T07:48:07.220Z,125,125.663,125.0
Inside Tret / Altin Peak's Flood (Restored - Roland SC-88) - Golden Sun,https://www.youtube.com/watch?v=APjaclWiLI4,Vincent Dortel,https://www.youtube.com/channel/UCFicr_PyWcvtQR8EneJBHdg,2026-04-27T07:44:48.480Z,199,198.74,198.74
Forest's Requiem (Restored - Roland SC-88) - Golden Sun,https://www.youtube.com/watch?v=vDaIVnZiOWs,Vincent Dortel,https://www.youtube.com/channel/UCFicr_PyWcvtQR8EneJBHdg,2026-04-27T07:41:48.075Z,180,180.405,180.0
The Royal Palace (Restored - Roland SC-88) - Golden Sun,https://www.youtube.com/watch?v=KsrcYIkJWoY,Vincent Dortel,https://www.youtube.com/channel/UCFicr_PyWcvtQR8EneJBHdg,2026-04-27T07:39:24.267Z,144,143.808,143.808
Winterly Imil (Restored - Roland SC-88) - Golden Sun,https://www.youtube.com/watch?v=AoGm3Lnwasg,Vincent Dortel,https://www.youtube.com/channel/UCFicr_PyWcvtQR8EneJBHdg,2026-04-27T07:36:43.794Z,160,160.473,160.0
Saturos Battle (Restored - Roland SC-88) - Golden Sun,https://www.youtube.com/watch?v=LD9gHZAK29c,Vincent Dortel,https://www.youtube.com/channel/UCFicr_PyWcvtQR8EneJBHdg,2026-04-27T07:33:38.442Z,185,185.352,185.0
Mercury Lighthouse (Restored - Roland SC-88) - Golden Sun,https://www.youtube.com/watch?v=7wg3txw0fEE,Vincent Dortel,https://www.youtube.com/channel/UCFicr_PyWcvtQR8EneJBHdg,2026-04-27T07:31:00.847Z,157,157.595,157.0
Hopelessness / Troubled Towns (Restored - Roland SC-88) - Golden Sun,https://www.youtube.com/watch?v=o2cKXO_qGX8,Vincent Dortel,https://www.youtube.com/channel/UCFicr_PyWcvtQR8EneJBHdg,2026-04-27T07:27:52.039Z,189,188.808,188.808
