title,link,channel,channel_link,date,video_length,time_diff,watch_time
Pokémon GO - Can you catch this Pokémon?,https://www.youtube.com/watch?v=J2jgJS5lgWw,,,2026-03-17T07:14:38.180Z,11.0,,11.0
Buy & Sell Sports Cards on Whatnot!,https://www.youtube.com/watch?v=fCHYDPRcoRo,,,2026-03-17T07:13:45.707Z,45.0,52.473,45.0
Best Banking Ever | Navy Federal Credit Union,https://www.youtube.com/watch?v=0fugs754GT4,,,2026-03-17T07:11:15.725Z,16.0,149.982,16.0
SSD_07741A01_169_EN_XZA_20260124_TGQC_长度捞河金PVP,https://www.youtube.com/watch?v=l4U6N3M2Nmc,,,2026-03-17T07:10:15.961Z,52.0,59.764,52.0
Vitanst Car Scratch Removal Pen,https://www.youtube.com/watch?v=KZoqFuojeeU,,,2026-03-17T07:04:34.683Z,37.0,341.278,37.0
Shortened: ROK_V_EN_3D_上帝掷骰子吗(城市精英破产)_CB_253_1920x1080_53s_250821_NR_992149,https://www.youtube.com/watch?v=hY5Sy06ndE0,,,2026-03-17T07:04:27.639Z,7.0,7.044,7.0
Video Ad,https://www.youtube.com/watch?v=akSdwPudDRU,,,2026-03-17T06:59:04.639Z,16.0,323.0,16.0
TT0001_The_Tower_Tony_Interview_1920x1080_6s,https://www.youtube.com/watch?v=8g24ReLHfl8,,,2026-03-17T06:58:57.715Z,7.0,6.924,6.924
VID42 3,https://www.youtube.com/watch?v=CgMQaax7ubo,,,2026-03-17T06:47:35.364Z,56.0,682.351,56.0
Shortened: SSD_06432B63_169_EN_DJ^WXD_20260121_FP_电力机械捕捞AL版^成熟精英型男口播^脚本C,https://www.youtube.com/watch?v=Y3cIrAMs5K8,,,2026-03-17T06:47:27.891Z,8.0,7.473,7.473
Video OrganicProcessing 24s 4x5 Inhouse V1,https://www.youtube.com/watch?v=M0S6FBwfe3A,,,2026-03-17T06:41:43.861Z,25.0,344.03,25.0
