title,link,channel,channel_link,date,video_length,time_diff,watch_time
YouTube History Extraction Tutorial,https://www.youtube.com/watch?v=0JP_uwa8FAE,Manoel Ribeiro,https://www.youtube.com/channel/UC5eHANjJG5ooFdIu4S1-3jQ,2026-03-10T02:28:09.142Z,64.0,,64.0
We Found Minecraft's Scariest Mobs,https://www.youtube.com/watch?v=VumdpZU-a3A,daukeytoo,https://www.youtube.com/channel/UCk6rDUUEeguelRc1Q1KH4uw,2026-03-09T19:07:56.108Z,2254.0,26413.034,2254.0
Introducing Mint Kids | Mint Mobile,https://www.youtube.com/watch?v=j8GyBlEaPeQ,,,2026-03-09T17:09:03.783Z,31.0,7132.325,31.0
Hungryroot | The Easiest Way to Eat Healthy,https://www.youtube.com/watch?v=RSOSvxZvUuE,,,2026-03-09T17:08:25.225Z,32.0,38.558,32.0
Got your tax forms? Time to file your tax return on FreeTaxUSA!,https://www.youtube.com/watch?v=4mkWJLTv71I,,,2026-03-09T15:56:41.672Z,52.0,4303.553,52.0
YT UGC TOFU V1,https://www.youtube.com/watch?v=R5fqI9KqKmQ,,,2026-03-09T15:55:59.578Z,35.0,42.094,35.0
Introducing Base44’s Big Game Full Ad “It’s App to You”,https://www.youtube.com/watch?v=kLdaIxDM-_Y,,,2026-03-09T15:50:19.561Z,56.0,340.017,56.0
Now Taxes is Staying in the Loop - TurboTax 2026 Commercial (Official TV Ad :30),https://www.youtube.com/watch?v=XuIDdnPxBlY,,,2026-03-09T15:49:42.138Z,31.0,37.423,31.0
STUDENT V2 update,https://www.youtube.com/watch?v=vdoHUOnTeG8,,,2026-03-09T15:43:17.468Z,85.0,384.67,85.0
Harmony Sambucha Ho 75 sec,https://www.youtube.com/watch?v=X-YfommZp_g,,,2026-03-09T15:41:55.355Z,75.0,82.113,75.0
UGC Jon   Terrifying at Work Cutdown   33s,https://www.youtube.com/watch?v=zvlykayb6mQ,,,2026-03-09T13:20:58.245Z,34.0,8457.11,34.0
I Dare You,https://www.youtube.com/watch?v=8QhVGzIZMAg,,,2026-03-09T13:06:01.194Z,195.0,897.051,195.0
It's app to you.,https://www.youtube.com/watch?v=cZgybqhi7FY,,,2026-03-09T12:45:55.987Z,43.0,1205.207,43.0
Strongest Fusion Plant. 441 Plants Vs. Zombies PvZ Plus pvz funny moments,https://www.youtube.com/watch?v=yoVfPG6IXao,Xz play PVZ,https://www.youtube.com/channel/UCioLi0u4CGShhDrs8AYKo2g,2026-03-09T12:39:45.558Z,489.0,370.429,370.429
He TRANSFORMS into a VAMPIRE 😳| Call Of The Night | #anime #animeedit #shorts,https://www.youtube.com/watch?v=fhr1588Jg_Q,KiraFX,https://www.youtube.com/channel/UCt_vUVXB9Z10eGSi2mptS-A,2026-03-09T01:33:20.943Z,43.0,39984.615,43.0
Seeing amazing Outfits on Pinterest:,https://www.youtube.com/watch?v=FgoW4YxdZf0,Nirami,https://www.youtube.com/channel/UC5vK_xyMGgFmtOvS_DVcLMQ,2026-03-09T00:05:58.544Z,8.0,5242.399,8.0
Vertical: CR_vid1362_v2_YT_FB_IQ_EN_10-12-25_AY_1920×1080.mp4,https://www.youtube.com/watch?v=RBzuLfQgO5c,,,2026-03-09T00:04:55.709Z,34.0,62.835,34.0
Resin Bag Keychain With Cloud Snow & Micro Bubbles,https://www.youtube.com/watch?v=b12cQeGFRH4,Crafted by Lilu,https://www.youtube.com/channel/UC4h79yk-XQQj5kqCLW64-Jw,2026-03-09T00:04:50.762Z,23.0,4.947,4.947
Credits to: JNAEDI on Pinterest #pinterest #floptropica #funny #relatable,https://www.youtube.com/watch?v=jcbEll4WcmE,B-Fam,https://www.youtube.com/channel/UCbJaITf57OoqjunOD4Wegsg,2026-03-09T00:04:39.269Z,6.0,11.493,6.0
don't touch my food #memes #shorts,https://www.youtube.com/watch?v=SAF8dakIlLw,Ongknown,https://www.youtube.com/channel/UCd28nnoSVZXw8KSREL1heNg,2026-03-09T00:04:23.393Z,8.0,15.876,8.0
SUKUNA EDIT | MONTAGEM BOMBO (Ultra Slowed) | | JUJUTSU KAISEN |,https://www.youtube.com/watch?v=D1gP2SkwxCQ,Setrex Sensei ,https://www.youtube.com/channel/UChSegGRXgjZahTuTL32lPxw,2026-03-09T00:04:21.193Z,18.0,2.2,2.2
We’ve all done this 😭 #foryou #funny  #relatable #trend #fypシ,https://www.youtube.com/watch?v=QhT2uDhRjp4,HuddyB,https://www.youtube.com/channel/UCxpuY2gryktqHH-q8ljUeag,2026-03-09T00:04:02.082Z,4.0,19.111,4.0
Arknights: Endfield Operator Story [The Five: Sparks that Shatter the Darkness],https://www.youtube.com/watch?v=5eCNG4gh5T0,,,2026-03-09T00:04:00.534Z,57.0,1.548,1.548
Ochaco’s CONFESSION!?😭💀 | My Hero Academia Abridged Shorts,https://www.youtube.com/watch?v=6IsAk8kTRRM,The Anime Boiis,https://www.youtube.com/channel/UCaU11-oAKAPPtJbXJ6WolDA,2026-03-09T00:03:57.763Z,115.0,2.771,2.771
We Forgot How Traumatic Moxxie’s Past Really Was… | Helluva Boss,https://www.youtube.com/watch?v=yYmjtxWQFEM,Valerius ,https://www.youtube.com/channel/UC0fDFqnoC06yExv-HmDXKaQ,2026-03-09T00:02:54.902Z,50.0,62.861,50.0
509_KD-MB_[25.34]_motion_UGC_remake_02OG90_console_02_9x16_04PR.mp4,https://www.youtube.com/watch?v=_MGeEudytlY,,,2026-03-09T00:02:53.369Z,15.0,1.533,1.533
That one bro in dodge ball 💀,https://www.youtube.com/watch?v=ezTLuzNcDpk,ibekeigh,https://www.youtube.com/channel/UCYs2DbQVHdpToAu-ZrMoKBg,2026-03-09T00:02:52.118Z,10.0,1.251,1.251
Demon Slayer Vs My Hero Academia Color Swap 🔥 #art #anime,https://www.youtube.com/watch?v=azGR4GSCgKg,Lukaru Arts,https://www.youtube.com/channel/UCmGiR6bl5FANqQbMz5SEFbQ,2026-03-09T00:02:09.776Z,45.0,42.342,42.342
Shopping With Mom VS Dad.,https://www.youtube.com/watch?v=iZcyWtVvCeY,Ryan HD,https://www.youtube.com/channel/UC68zG933W7D9V9H9TLXBPZQ,2026-03-09T00:01:39.414Z,11.0,30.362,11.0
The Youngest Child Watches Too Much TV.,https://www.youtube.com/watch?v=zY_7jS3wZUU,Ryan HD,https://www.youtube.com/channel/UC68zG933W7D9V9H9TLXBPZQ,2026-03-09T00:01:22.829Z,16.0,16.585,16.0
5G Home Minternet | Mint Mobile,https://www.youtube.com/watch?v=U-4hJ7oYGmY,,,2026-03-09T00:01:21.231Z,31.0,1.598,1.598
When You Try To Go To Bed Early To Wake Up Early.,https://www.youtube.com/watch?v=SMbalCk-S1g,Ryan HD,https://www.youtube.com/channel/UC68zG933W7D9V9H9TLXBPZQ,2026-03-09T00:01:12.178Z,8.0,9.053,8.0
How Siblings Are To Each Other At Any Given Moment.,https://www.youtube.com/watch?v=lWbFB2Zqyhk,Ryan HD,https://www.youtube.com/channel/UC68zG933W7D9V9H9TLXBPZQ,2026-03-09T00:01:01.457Z,10.0,10.721,10.0
"It is, buddy",https://www.youtube.com/watch?v=YbbGlQqOIAw,,,2026-03-09T00:00:56.876Z,8.0,4.581,4.581
