title,link,channel,channel_link,date,video_length,time_diff,watch_time
The Absurdly Weird Story of Corpse Party Sachiko’s Birthday: Explained,https://www.youtube.com/watch?v=pynrgv8GZVs,CyberLocky,https://www.youtube.com/channel/UCCylWWn9Ybw77ZKk7rTHeSg,2026-04-26T00:01:51.585Z,15701,,15701.0
The Best Horror Game That Will Never Be Finished | Corpse Party 2 Dead Patient,https://www.youtube.com/watch?v=8Bz2wXXdx58,CyberLocky,https://www.youtube.com/channel/UCCylWWn9Ybw77ZKk7rTHeSg,2026-04-26T00:00:56.754Z,4567,54.831,54.831
The video ends when I beat EVERY OG FNAF GAME (1-6),https://www.youtube.com/watch?v=sI3eBf8qziQ,cjya,https://www.youtube.com/channel/UCs9m9aozFz9NztwPhM_gpTA,2026-04-25T22:18:46.469Z,5135,6130.285,5135.0
The Brutal Story of Corpse Party's Messed Up Sequel: Explained,https://www.youtube.com/watch?v=B24CcXOrdyM,CyberLocky,https://www.youtube.com/channel/UCCylWWn9Ybw77ZKk7rTHeSg,2026-04-25T22:13:03.870Z,9365,342.599,342.599
Karen Moose Master,https://www.youtube.com/watch?v=JkfmetXUo5Q,Smosh Games,https://www.youtube.com/channel/UCJ2ZDzMRgSrxmwphstrm8Ww,2026-04-25T19:37:48.696Z,3921,9315.174,3921.0
Holiday Moose Master,https://www.youtube.com/watch?v=RgYRZ3mPmJo,Smosh Games,https://www.youtube.com/channel/UCJ2ZDzMRgSrxmwphstrm8Ww,2026-04-25T18:41:51.390Z,3422,3357.306,3357.306
Dudes Play Madden,https://www.youtube.com/watch?v=tbQWFQl2f0U,Smosh Games,https://www.youtube.com/channel/UCJ2ZDzMRgSrxmwphstrm8Ww,2026-04-25T18:00:10.284Z,2574,2501.106,2501.106
The Insane Story of Corpse Party: Explained,https://www.youtube.com/watch?v=-1knVTqdA-c,CyberLocky,https://www.youtube.com/channel/UCCylWWn9Ybw77ZKk7rTHeSg,2026-04-25T14:30:10.876Z,11979,12599.408,11979.0
We Replay Our Favorite Challenges | The Challenge Pit,https://www.youtube.com/watch?v=GpugSiPGuh8,Smosh Pit,https://www.youtube.com/channel/UCYJPby9DRCteedh5tfxVbrw,2026-04-25T14:20:20.347Z,1998,590.529,590.529
We Attempt Viral TikTok Challenges | The Challenge Pit,https://www.youtube.com/watch?v=1XHXOzZbThM,Smosh Pit,https://www.youtube.com/channel/UCYJPby9DRCteedh5tfxVbrw,2026-04-25T14:03:14.516Z,1577,1025.831,1025.831
The Insane Story of Corpse Party: Explained,https://www.youtube.com/watch?v=-1knVTqdA-c,CyberLocky,https://www.youtube.com/channel/UCCylWWn9Ybw77ZKk7rTHeSg,2026-04-25T01:13:21.042Z,11979,46193.474,11979.0
Can YOU Find the Hidden Towers in Minecraft?,https://www.youtube.com/watch?v=NqgIQE1Yqvw,Havenhand,https://www.youtube.com/channel/UCM2o5Sn0Tb8s7H0gmwafeYw,2026-04-25T01:06:45.237Z,1927,395.805,395.805
Can YOU Build these Minecraft Structures from just these Prompts?,https://www.youtube.com/watch?v=Uaimk24WEPA,Havenhand,https://www.youtube.com/channel/UCM2o5Sn0Tb8s7H0gmwafeYw,2026-04-25T00:55:35.815Z,2433,669.422,669.422
"If YOU Pick the same Minecraft Item as us, You LOSE!",https://www.youtube.com/watch?v=Ni2LGBe7tqU,Havenhand,https://www.youtube.com/channel/UCM2o5Sn0Tb8s7H0gmwafeYw,2026-04-25T00:23:10.052Z,1518,1945.763,1518.0
Becoming the BEST at the HARDEST BACKROOMS SPEEDRUN,https://www.youtube.com/watch?v=ujz29mZ8I4Y,AstralSpiff,https://www.youtube.com/channel/UC9ek8xUVjnmQ-q7f6CTwtxg,2026-04-24T23:47:34.415Z,4859,2135.637,2135.637
Babysitting 3 Friends in the NEW Backrooms Update,https://www.youtube.com/watch?v=AlZ5IHQdcSU,AstralSpiff,https://www.youtube.com/channel/UC9ek8xUVjnmQ-q7f6CTwtxg,2026-04-24T22:35:27.002Z,4314,4327.413,4314.0
Trolling 3 buddies in the FULL BACKROOMS RELEASE,https://www.youtube.com/watch?v=Qgg_7lup03A,AstralSpiff,https://www.youtube.com/channel/UC9ek8xUVjnmQ-q7f6CTwtxg,2026-04-24T21:07:19.983Z,5179,5287.019,5179.0
3 Idiots Play The Mimic... Things Got Ugly,https://www.youtube.com/watch?v=RBJV_uAOxNs,BigT,https://www.youtube.com/channel/UCcYJvUIBLD5dyvSQhywigPQ,2026-04-24T20:27:42.879Z,2364,2377.104,2364.0
We tried beating Minecraft with Every Horror Mod Installed,https://www.youtube.com/watch?v=44COoULndQc,BigT,https://www.youtube.com/channel/UCcYJvUIBLD5dyvSQhywigPQ,2026-04-24T19:21:02.536Z,3987,4000.343,3987.0
The Group Office™,https://www.youtube.com/watch?v=h3uEJsXz2Lg,The Group Gaming,https://www.youtube.com/channel/UCveyKulcNzYAl7eCVO0InpQ,2026-04-24T18:54:52.562Z,1557,1569.974,1557.0
"Infant baby totals $6,000 mower...",https://www.youtube.com/watch?v=-H1lRL4Pp3k,The Group Gaming,https://www.youtube.com/channel/UCveyKulcNzYAl7eCVO0InpQ,2026-04-24T18:15:19.014Z,2361,2373.548,2361.0
Why RV Not There Yet?,https://www.youtube.com/watch?v=5PnnCaKQUAw,The Group Gaming,https://www.youtube.com/channel/UCveyKulcNzYAl7eCVO0InpQ,2026-04-24T17:43:04.808Z,1921,1934.206,1921.0
oh cool an alie- GRAAAAHHHHH,https://www.youtube.com/watch?v=v3q-0qVSke8,The Group Gaming,https://www.youtube.com/channel/UCveyKulcNzYAl7eCVO0InpQ,2026-04-24T17:02:29.044Z,2335,2435.764,2335.0
We Made THE GREATEST Album on Discord,https://www.youtube.com/watch?v=jSjc03mCxTQ,Softwilly,https://www.youtube.com/channel/UCA88kGBpPHRCxAcskmUh23w,2026-04-24T15:11:34.721Z,5178,6654.323,5178.0
We Play Dress To Impress IRL,https://www.youtube.com/watch?v=7STMF9kQ8FI,Smosh Pit,https://www.youtube.com/channel/UCYJPby9DRCteedh5tfxVbrw,2026-04-24T14:42:28.807Z,2276,1745.914,1745.914
We Play Dress To Impress IRL Again,https://www.youtube.com/watch?v=MXQBoR1IuxU,Smosh Pit,https://www.youtube.com/channel/UCYJPby9DRCteedh5tfxVbrw,2026-04-24T14:01:56.795Z,2418,2432.012,2418.0
I Put 9 YouTubers in Random Minecraft Chunks,https://www.youtube.com/watch?v=uUUp6KIumIU,Baablu,https://www.youtube.com/channel/UCOxAZ3wFgF6MJpPK1J6RoeA,2026-04-24T13:48:09.624Z,2139,827.171,827.171
7 Speedrunners VS Impossible Natural Disasters,https://www.youtube.com/watch?v=HydP8HJ1JxM,Baablu,https://www.youtube.com/channel/UCOxAZ3wFgF6MJpPK1J6RoeA,2026-04-24T13:34:39.367Z,1672,810.257,810.257
I Put 19 YouTubers on HARDCORE Skyblock,https://www.youtube.com/watch?v=_bsy57lFVKw,Baablu,https://www.youtube.com/channel/UCOxAZ3wFgF6MJpPK1J6RoeA,2026-04-24T12:54:13.963Z,2431,2425.404,2425.404
Why Conservative Comedy Doesn't Work: Mr. Birchum Review,https://www.youtube.com/watch?v=wGn3gfR0Xcs,My Friends Call Me Pat,https://www.youtube.com/channel/UCl6zWXajFZltf4MdagJXTCw,2026-04-24T12:51:24.854Z,1137,169.109,169.109
"Minecraft Manhunt, But We're All TERRIBLE",https://www.youtube.com/watch?v=bQaBMANDBus,Werffy,https://www.youtube.com/channel/UCWQXF1yEMh7kwwbdtO0-eyg,2026-04-24T12:51:01.665Z,2068,23.189,23.189
Is there an S tier problem in MCC?,https://www.youtube.com/watch?v=uRSa8gDBJh0,Wolfeei but more,https://www.youtube.com/channel/UCvVlpDjl6HafN_LWKBig4CA,2026-04-24T12:35:17.468Z,1798,944.197,944.197
The CANNIBALS Hiding In The Forest | The Hunt Among the Green,https://www.youtube.com/watch?v=5SgjxLQZugc,EmortalMarcus,https://www.youtube.com/channel/UCUI0i5-4t4AWgenu9TFZ0aw,2026-04-24T01:19:24.260Z,2198,40553.208,2198.0
"Cuphead But If I Say The Letter ""F""', 50/20 Starts",https://www.youtube.com/watch?v=n9lqlz1QXhk,SSJ Jasiah,https://www.youtube.com/channel/UClWxzgg8fATJ8wqnKkt9dsA,2026-04-24T01:11:02.905Z,3269,501.355,501.355
CHASED BY A GIANT CENTIPEDE...,https://www.youtube.com/watch?v=NcjMxs_eaxE,3FS,https://www.youtube.com/channel/UCF2T5SJP8fKB7eubgvwEDxg,2026-04-24T01:06:43.759Z,1861,259.146,259.146
I PLAYED ANOTHER CLIMBING HORROR GAME...,https://www.youtube.com/watch?v=T29WbY0JwYA,3FS,https://www.youtube.com/channel/UCF2T5SJP8fKB7eubgvwEDxg,2026-04-24T00:52:11.127Z,2179,872.632,872.632
