title,link,channel,channel_link,date,video_length,time_diff,watch_time
老板又一次颠覆了我对火鸡面的认知！#在路边摊感受 #noodles #delicious #streetfood #cooking #ramen,https://www.youtube.com/watch?v=_N6XaArtYq0,Ayu速食,https://www.youtube.com/channel/UCVXOYxfzfniFyOtk0f9gqRA,2026-03-09T22:12:45.289Z,77.0,,77.0
From $250k GT-R to a Cadillac... Crazy trade?,https://www.youtube.com/watch?v=UmKmuwu5d6o,George J Saliba,https://www.youtube.com/channel/UClFl5x5buwC3ZonUUnPZhNQ,2026-03-09T22:12:36.405Z,116.0,8.884,8.884
Guess Who These Nepo Babies Parents Are! #shorts #baby #celebrities #haileybieber #guessinggame,https://www.youtube.com/watch?v=qV5h7XDbP3A,Makeshift Project,https://www.youtube.com/channel/UC0ts7Wbbn24bo8TaRuu1Xig,2026-03-09T22:11:04.011Z,88.0,92.394,88.0
生活就像泡面，要给自己加点料  #路边摊美味 #food #noodles #delicious #cooking #streetfood #美食分享 #美食教程,https://www.youtube.com/watch?v=0663ouuPvSE,Ayu速食,https://www.youtube.com/channel/UCVXOYxfzfniFyOtk0f9gqRA,2026-03-09T22:10:01.141Z,61.0,62.87,61.0
He spent $1.5M on 22 cars in a single purchase...,https://www.youtube.com/watch?v=ugqIIEEKZGM,George J Saliba,https://www.youtube.com/channel/UClFl5x5buwC3ZonUUnPZhNQ,2026-03-09T22:08:38.908Z,78.0,82.233,78.0
always check your bill before checkout,https://www.youtube.com/watch?v=_xd1hHKYmvo,Saturday Night Live,https://www.youtube.com/channel/UCqFzWxSCi39LnW1JKFR3efg,2026-03-09T22:05:42.548Z,179.0,176.36,176.36
"THE COLDEST KILL AT 30,000 FEET | Commando (1985)"" ✈️🔪",https://www.youtube.com/watch?v=XRkEzdcCrMY,Silence4,https://www.youtube.com/channel/UCdJkvwNGbxLU9GxXbRKf7Rg,2026-03-09T22:04:40.901Z,47.0,61.647,47.0
"My wife wanted me to update the front porch, so I did #shorts #diy #transformation  #wife #upgrade",https://www.youtube.com/watch?v=2MIW6Px_RuM,Logan,https://www.youtube.com/channel/UCV5b4lRfQrY3yTN1unbo8ww,2026-03-09T22:04:36.209Z,177.0,4.692,4.692
The Most Annoying Battery Change Ever ! Audi Q7 Edition ! #mechanic #audi #audiq7 #automotive #cars,https://www.youtube.com/watch?v=qZS1YdNTZkk,Auto Parts City,https://www.youtube.com/channel/UCW-vmMRJa67CTGMVU1DQCDA,2026-03-09T22:01:32.446Z,180.0,183.763,180.0
This person ignored Pauly's warning and chose to confront Tony. #shorts #shortvideo #foryou #drama,https://www.youtube.com/watch?v=loAJBAL2KIk,Kyaire Kamei,https://www.youtube.com/channel/UCIm39Us_tQaZxSO1z6yBrPw,2026-03-09T22:00:12.938Z,60.0,79.508,60.0
Cooking trout sushi #fishing #cooking #outdoors,https://www.youtube.com/watch?v=nQo_FndUx1k,Wade Fishez,https://www.youtube.com/channel/UCjUSB99jMFsau0XrISjpuxQ,2026-03-09T22:00:12.323Z,83.0,0.615,0.615
Vito's Brother Is Randomly Attacked☠️🔥 | The Sopranos#shorts #viral #edit #shortvideo #peliculas,https://www.youtube.com/watch?v=g1CiNxQ2XhM,Primarith Reel,https://www.youtube.com/channel/UCy2DJQq0GRfjhIA7PVJK_yg,2026-03-09T21:59:38.144Z,60.0,34.179,34.179
"DF Direct Weekly #254: Xbox Project Helix, Sony Exiting PC? Starfield PS5, Crimson Desert Console!",https://www.youtube.com/watch?v=ddiqHSD1DSU,Digital Foundry,https://www.youtube.com/channel/UC9PBzalIcEQCsiIkq36PyUA,2026-03-09T21:56:24.028Z,4438.0,194.116,194.116
When Tony encounters organized crime.  #foryou #thesopranos #series #shorts #drama,https://www.youtube.com/watch?v=N1cnjb5LFiI,Gavin Veff,https://www.youtube.com/channel/UCxhTYMtNRmgs-6JCaZA5fxA,2026-03-09T21:16:06.653Z,57.0,2417.375,57.0
How I reacted to the Seahawks picking Grey Zabel 🍿 #NFLDraft,https://www.youtube.com/watch?v=RQt1Ajsl1Ro,Mina Kimes - ESPN,https://www.youtube.com/channel/UC_tw642eXyCSQDor1Ps7ZUg,2026-03-09T21:07:02.199Z,89.0,544.454,89.0
Tony fell during the inspection☠ | The Sopranos#shorts #viral #edit #shortvideo #peliculas,https://www.youtube.com/watch?v=hnASdUIez8g,Primarith Reel,https://www.youtube.com/channel/UCy2DJQq0GRfjhIA7PVJK_yg,2026-03-09T21:05:27.522Z,60.0,94.677,60.0
"RaySkillmanCars.com - Over 4,000 New And Used Cars",https://www.youtube.com/watch?v=1-WkCL6d2Ek,,,2026-03-09T20:43:25.265Z,31.0,1322.257,31.0
Colin & Tootsie: A Science Diet Story,https://www.youtube.com/watch?v=mcDhkbNJb9c,,,2026-03-09T20:43:09.413Z,16.0,15.852,15.852
Autotrader | Buy Online | Delivery | 15s,https://www.youtube.com/watch?v=9MhjQHRwtAE,,,2026-03-09T20:37:13.002Z,16.0,356.411,16.0
"Myrtle Beach, South Carolina: The Beach for any Reason",https://www.youtube.com/watch?v=jnN4zv1Mo98,,,2026-03-09T20:36:57.007Z,16.0,15.995,15.995
Hank knows pizza. Copilot knows Excel.,https://www.youtube.com/watch?v=OIoVOiWvO5I,,,2026-03-09T20:36:41.007Z,16.0,16.0,16.0
LAYS Classic Favorite ALT2 06 16x9 OLV Subs 1,https://www.youtube.com/watch?v=YZvMy56PKtM,,,2026-03-09T20:36:34.016Z,7.0,6.991,6.991
Corporate Hair/Skin Softening 2025 - 6s,https://www.youtube.com/watch?v=nDVil4MrRvI,,,2026-03-09T20:36:27.214Z,7.0,6.802,6.802
2512_MAQ.MWTS.QIA.WF9441750_KRO_16x9-15_XXX,https://www.youtube.com/watch?v=BUNyk18lgLs,,,2026-03-09T15:22:53.809Z,16.0,18813.405,16.0
There's Nothing Like Platinum | 4PM Late Checkout | The American Express Platinum Card®,https://www.youtube.com/watch?v=PypodAxn1eo,,,2026-03-09T15:22:38.103Z,16.0,15.706,15.706
We're ready to deliver what matters for Audi Revolut F1® Team's debut and beyond.👀 🧪,https://www.youtube.com/watch?v=wgp_Wq8KjMQ,,,2026-03-09T15:07:19.993Z,10.0,918.11,10.0
Nikki Glaser manages her schedule with the all-new Alexa+,https://www.youtube.com/watch?v=l8Yu5-QS5hA,,,2026-03-09T15:07:04.350Z,16.0,15.643,15.643
Guest how you guest with more hotels for the way you stay with IHG,https://www.youtube.com/watch?v=NC4iAJemXug,,,2026-03-09T15:06:48.435Z,16.0,15.915,15.915
"Get Radiant, Get More | Tampax Radiant",https://www.youtube.com/watch?v=HW-YBzYWNtY,,,2026-03-09T15:06:41.721Z,7.0,6.714,6.714
2026 Dodge Charger R/T | Stoplight to Stoplight And Snow Savant?,https://www.youtube.com/watch?v=uPpxw1_fwnA,Auto Buyers Guide | Alex on Autos,https://www.youtube.com/channel/UC3qM33hHgedfi7qTKKgIApg,2026-03-09T14:59:02.274Z,1349.0,459.447,459.447
Mario Tennis Fever - Available Now,https://www.youtube.com/watch?v=j3c5Z3ZfshI,,,2026-03-09T14:58:46.147Z,16.0,16.127,16.0
There's Nothing Like Platinum | Complimentary Third Night | The American Express Platinum Card®,https://www.youtube.com/watch?v=kzhY-EpgvuQ,,,2026-03-09T14:58:30.345Z,16.0,15.802,15.802
Anthem Lawn Evergreen 15 16x9,https://www.youtube.com/watch?v=uE5_YwUlEhA,,,2026-03-09T14:58:13.053Z,15.0,17.292,15.0
Gamers Reaction to Kratos Vs Thor | God of War Ragnarok,https://www.youtube.com/watch?v=bSlgTtqUq04,Miqo,https://www.youtube.com/channel/UCIi8h68S2FIb17z-3rBeKMQ,2026-03-09T03:51:45.844Z,1054.0,39987.209,1054.0
Mazda Hybrid Matador 16x9 15s 1,https://www.youtube.com/watch?v=dZ17-b3bfVA,,,2026-03-09T03:25:45.931Z,16.0,1559.913,16.0
EN_Presentation_ExpandToWhiteboard_15_16x9_Seeding-Loveyourwork-YT_wi24.mp4,https://www.youtube.com/watch?v=hor86Vlx9Ns,,,2026-03-09T03:25:30.003Z,15.0,15.928,15.0
PGTX1478100H,https://www.youtube.com/watch?v=ONczZrAiSrk,,,2026-03-09T03:25:23.289Z,7.0,6.714,6.714
Feel confident your nutrition needs are covered.,https://www.youtube.com/watch?v=sFNAA_ctp5E,,,2026-03-09T03:25:16.549Z,7.0,6.74,6.74
Make Your Best,https://www.youtube.com/watch?v=ToP6VBqw7UY,,,2026-03-09T03:25:00.887Z,16.0,15.662,15.662
临沂兄弟农村家里烤乳猪，16元斤一只仅售280元，配方价值50w绝不外传！#麦总去哪吃,https://www.youtube.com/watch?v=cttuQrd-q-E,麦总去哪吃,https://www.youtube.com/channel/UCX-M8j9vQ-oUGO9Mckd601A,2026-03-09T03:10:21.881Z,4279.0,879.006,879.006
Must Be Momofuku   15s 1,https://www.youtube.com/watch?v=Ge-Tt74OxMM,,,2026-03-09T03:10:14.475Z,16.0,7.406,7.406
Hunter Douglas® Blinds & Shades | 6s | 16x9 | Brand,https://www.youtube.com/watch?v=qTVNGNv8qas,,,2026-03-09T03:10:07.614Z,7.0,6.861,6.861
Tulsa King | Buy Now On Digital | Paramount Movies,https://www.youtube.com/watch?v=l61zO2_iGPc,,,2026-03-09T03:06:24.464Z,31.0,223.15,31.0
Hill’s Science Diet: Science Did That,https://www.youtube.com/watch?v=iNKr8dEP1-8,,,2026-03-09T03:06:08.496Z,16.0,15.968,15.968
Hank knows pizza. Copilot knows Excel.,https://www.youtube.com/watch?v=OIoVOiWvO5I,,,2026-03-09T03:05:52.766Z,16.0,15.73,15.73
