title,link,channel,channel_link,date,video_length,time_diff,watch_time
"Map of India - States, Union Territories, Capitals and Largest Cities - Bharat Map (with Photos)",https://www.youtube.com/watch?v=qRIk0l7bI2w,Genius Learning,https://www.youtube.com/channel/UCmvBVmiTrR6qlG2Merzx6tQ,2026-04-08T00:10:04.113Z,481,,481.0
test for video and audio,https://www.youtube.com/watch?v=8BRZCs61Cxg,CMU CRPC,https://www.youtube.com/channel/UCGopFQkBAeUHTTta_vwLyyw,2026-04-06T19:44:23.202Z,17,102340.911,17.0
"🔴SEMI GOD MODE BUILD🔴S2R GLITCH TUTORIAL, EXOTIC FABRICATOR, NIGHTMARE SKILLS, SEASON 2 RELOADED BO7",https://www.youtube.com/watch?v=uBfb0TbB_wc,B Man,https://www.youtube.com/channel/UCQhlZiG4gdaVQ00xkkfUlTw,2026-04-05T22:35:31.194Z,2185,76132.008,2185.0
BLACK OPS 7: NEW TOP 5 META LOADOUTS IN SEASON 3 UPDATE! 🏆 (BO7 Best Class Setups) BO7 Best Guns,https://www.youtube.com/watch?v=x0AVyA0YNo8,Frizzeyes,https://www.youtube.com/channel/UCOcSJ53I5pkrhn9jZngQLGQ,2026-04-05T17:15:35.548Z,825,19195.646,825.0
Daniel Radcliffe Worries About the Aftermath While Eating Spicy Wings | Hot Ones,https://www.youtube.com/watch?v=fyw8CUE3LX4,First We Feast,https://www.youtube.com/channel/UCPD_bxCRGpmmeQcbe2kpPaA,2026-04-05T14:22:47.920Z,1304,10367.628,1304.0
EASY Endgame Link Forger Glitch Boss Guide... (ALL Act 1 Missions & Rewards) - Black Ops 7 Season 3,https://www.youtube.com/watch?v=7v-6HpHlyLc,dkdynamite,https://www.youtube.com/channel/UCe1yEAEbnDWM7nVi3y2pjYw,2026-04-05T14:10:37.624Z,834,730.296,730.296
BLACK OPS 7: NEW TOP 5 META LOADOUTS After SEASON 3 UPDATE! (BO7 Best Class Setups) BO7 Best Guns,https://www.youtube.com/watch?v=Xid9cvUEHac,Ears,https://www.youtube.com/channel/UCGFpo4CNPW3w1G5KDqFunJw,2026-04-04T23:22:16.157Z,984,53301.467,984.0
Video 3.3,https://www.youtube.com/watch?v=bFjf2XRb7XM,Politics Lab,https://www.youtube.com/channel/UCuOWb0rKYZiHBJtbjekwvZw,2026-04-04T15:49:31.631Z,160,27164.526,160.0
🔴EASY XP 🔴NEW META🔴 OVER 500K DAMAGE! 🔴NERFS🔴 GLITCHES🔴 BO7 END GAME ATTACHMENT GLITCH + OP WEAPONS,https://www.youtube.com/watch?v=WqU5aLLezMo,B Man,https://www.youtube.com/channel/UCQhlZiG4gdaVQ00xkkfUlTw,2026-04-02T15:30:16.804Z,1029,173954.827,1029.0
Mini Legion-HERO-S-DHT12,https://www.youtube.com/watch?v=o0fFT9lkXfY,,,2026-04-02T15:30:09.657Z,28,7.147,7.147
Celebrities Surprising Fans When They Least Expect It!,https://www.youtube.com/watch?v=OWvJ_rcZYFE,Moxie,https://www.youtube.com/channel/UCfSM-ecFD3b1MfIroLslTrg,2026-04-02T13:37:02.305Z,1103,6787.352,1103.0
VERA 2 Video,https://www.youtube.com/watch?v=sapdmLRwVTQ,Meredith T.,https://www.youtube.com/channel/UCeH-2zRjXhg-zmG6jGPYKlw,2026-04-02T00:18:08.913Z,263,47933.392,263.0
Zendaya Reveals “Real” Wedding Footage #shorts #zendaya #tomholland,https://www.youtube.com/watch?v=XbTD5yPouLc,PinkNews,https://www.youtube.com/channel/UCQLRK5wiWGmzp4dnFt0arwA,2026-04-01T23:22:38.359Z,118,3330.554,118.0
BEST Weapon in the GAME!! AETHER BLADE - How To Get Schematic - Modern Warfare 3 Zombies MWZ,https://www.youtube.com/watch?v=hDenb00w1Fo,Glitching Queen,https://www.youtube.com/channel/UC1j9Sw58UNh-f-21Z-fd8pw,2026-03-31T02:37:00.631Z,578,161137.728,578.0
Staycation Trueview | USAA,https://www.youtube.com/watch?v=61VyVnW-FeQ,,,2026-03-31T02:36:48.506Z,16,12.125,12.125
"NEW Black Ops 7 Endgame Update Adds EVERYTHING... (Animated Rewards, Skill Reroll & More Loadouts)",https://www.youtube.com/watch?v=fLofIAnMCb8,dkdynamite,https://www.youtube.com/channel/UCe1yEAEbnDWM7nVi3y2pjYw,2026-03-31T01:56:04.593Z,659,2443.913,659.0
Beating the *NEW* Final ENDGAME Boss (ALL UNLOCKS),https://www.youtube.com/watch?v=XuvdgPU0BsM,LegoUnlocked,https://www.youtube.com/channel/UCJffBkLaEjsL_f21kT_5CKg,2026-03-29T18:13:45.648Z,2121,114138.945,2121.0
