title,link,channel,channel_link,date,video_length,time_diff,watch_time
Bro is in danger now 🤣 😆,https://www.youtube.com/watch?v=7cQE1Ua5mdk,The Memeister ,https://www.youtube.com/channel/UCP0LybIX6qJ-oXsEOJd8DdQ,2026-03-17T21:29:18.249Z,11.0,,11.0
Tel Aviv Live - Tel Aviv Skyline Cam,https://www.youtube.com/watch?v=KMZbvDRgAh8,Livestream Events,https://www.youtube.com/channel/UCrjyygMS1KNuL10AT5AIcBQ,2026-03-16T20:22:32.040Z,4775094.0,90406.209,90406.209
IRAN WAR LIVE | Tel Aviv Skyline Engulfed In Flames After Iranian Hypersonic Missile Barrage| Israel,https://www.youtube.com/watch?v=c4FLHdBD0-k,ET Now World,https://www.youtube.com/channel/UCJ04m06GHw3DUDQG6chCAUA,2026-03-16T20:22:22.960Z,88835.0,9.08,9.08
Iran-Israel War LIVE: Iran Strikes Back at Israel with Huge hypersonic missile | Tel AVIV LIVE,https://www.youtube.com/watch?v=dc5deDkaQOo,ET Now World,https://www.youtube.com/channel/UCJ04m06GHw3DUDQG6chCAUA,2026-03-16T20:22:13.685Z,364236.0,9.275,9.275
Iran Attacks Israel LIVE | Iran’s Hypersonic Missiles Break Israel’s Iron Dome | Tel Aviv | Tehran,https://www.youtube.com/watch?v=Sk8r9M7jn_I,MIRROR NOW,https://www.youtube.com/channel/UCWCEYVwSqr7Epo6sSCfUgiw,2026-03-16T20:21:52.570Z,1014430.0,21.115,21.115
https://www.youtube.com/watch?v=F5CegHIk9s8,https://www.youtube.com/watch?v=F5CegHIk9s8,,,2026-03-16T20:21:43.047Z,,9.523,9.523
"EarthCam Live - Western Wall  (Jerusalem, Israel)",https://www.youtube.com/watch?v=77akujLn4k8,EarthCam,https://www.youtube.com/channel/UC6qrG3W8SMK0jior2olka3g,2026-03-16T20:21:17.365Z,0.0,25.682,0.0
"LIVE: Iran Launches Massive Missile Barrages at Israel — Haifa, Tel Aviv & Jerusalem Under Fire",https://www.youtube.com/watch?v=xFzJCrSdtkQ,ET Now World,https://www.youtube.com/channel/UCJ04m06GHw3DUDQG6chCAUA,2026-03-16T20:21:07.129Z,42896.0,10.236,10.236
LIVE: Tel Aviv and Jerusalem skyline as Iran war continues,https://www.youtube.com/watch?v=CBtM7-qx7a8,Associated Press,https://www.youtube.com/channel/UC52X5wxOL_s5yw0dQk7NtgA,2026-03-16T20:20:45.410Z,42898.0,21.719,21.719
Buy & Sell Funko Pops on Whatnot!,https://www.youtube.com/watch?v=Xt-CGZUOXzw,,,2026-03-16T20:20:36.629Z,42.0,8.781,8.781
(Credit: acasa_daerica on IG) #breakfast #pancakes #lifehack #kitchenhacks #cooking,https://www.youtube.com/watch?v=ZltFata4ywg,Mark Chrispy,https://www.youtube.com/channel/UCl22N0AB65gzuFpDQu2O6-g,2026-03-16T20:20:26.495Z,21.0,10.134,10.134
X-stock class going semi-finals run leg 3 road to Taiwan 2025 Tamiya mini4wd,https://www.youtube.com/watch?v=58nIIYJAGNY,Mini4wd Newbie PH,https://www.youtube.com/channel/UCk3JdNn2Yr3oVDiSL6qzStw,2026-03-16T02:21:29.034Z,42.0,64737.461,42.0
3438_6_Motion_New_EN_HC_New_ADHDCleanerPhysicalSet3_080226_FB_Both_CHI_KM_KM.mp4,https://www.youtube.com/watch?v=oo_Jf-nem2g,,,2026-03-16T02:21:27.268Z,33.0,1.766,1.766
Life Being A Girl Dad 😂 #kids #girldad #funny#baby #fyp #funny #funnyvideos,https://www.youtube.com/watch?v=rJobQcIjgiY,YT-StrongGamer,https://www.youtube.com/channel/UCM-Rmu5uk9r4pjfxhQ_oNew,2026-03-16T02:21:21.099Z,62.0,6.169,6.169
