title,link,channel,channel_link,date,video_length,time_diff,watch_time
[SEASON 3]  CANTINA LEGEND #3 — WEEKLY TRIAL RECAP | ARC Raiders,https://www.youtube.com/watch?v=jKS-poT0PUs,FRENCHCOPS,https://www.youtube.com/channel/UCa4dzOoF4E5u37WitxV-imQ,2026-03-19T04:03:07.805Z,668.0,,668.0
Solo Damage Bombardiers Trials Run 52K+ | ARC Raiders,https://www.youtube.com/watch?v=cevDwr67N_A,Valliate,https://www.youtube.com/channel/UCAbLJyl9RfhX55XtIpdm00A,2026-03-19T04:02:42.286Z,2318.0,25.519,25.519
I can't believe Trevor Wallace said this...,https://www.youtube.com/watch?v=0OZHcbTQlEo,Botez Sisters Podcast,https://www.youtube.com/channel/UCvktw2yF_rkJRNO9fyT-_KQ,2026-03-19T03:19:22.007Z,33.0,2600.279,33.0
@lenaevanr: Cats are the best. #cat  #catlover #kitty,https://www.youtube.com/watch?v=4C3lzyK9gEU,Funny Cat Moments,https://www.youtube.com/channel/UC9A2C_Nm7O8Y1CHNrQ83qqg,2026-03-19T03:18:51.438Z,33.0,30.569,30.569
How many times has she done this?! 😆,https://www.youtube.com/watch?v=XUD8MrNbSLM,The Vagle Family,https://www.youtube.com/channel/UCEHUlVZq-jeKoNhNBlxOJsQ,2026-03-19T03:16:30.149Z,76.0,141.289,76.0
Sushi from Trader Joe’s salmon??,https://www.youtube.com/watch?v=XMuSXTIRn10,Rafi Fronzaglia,https://www.youtube.com/channel/UCSIRY3ZOGdfWCl_f6GS9LaA,2026-03-19T03:16:26.290Z,46.0,3.859,3.859
Korra has absolutely no respect for cleanliness,https://www.youtube.com/watch?v=9iyIcciaNok,PipandKorra,https://www.youtube.com/channel/UCz5EHIMx71ABQcaD15OW23A,2026-03-19T03:16:24.561Z,14.0,1.729,1.729
RAW EGG PEELING LIVE,https://www.youtube.com/watch?v=ki_vfpgg6ZA,Funny hehe,https://www.youtube.com/channel/UClkCToVpRGMkTWSkt4qu_rw,2026-03-19T03:16:23.289Z,7189.0,1.272,1.272
IQ of an actual rock.,https://www.youtube.com/watch?v=Hf8Ikx5sPcc,Burnt Peanut After Dark,https://www.youtube.com/channel/UC8oas-apN0Wq7gRoS7U4Yhw,2026-03-19T03:15:37.017Z,27.0,46.272,27.0
I’d like to think you get my vibe now? lol this is a lash technique I’ve done for YEARS 🥰 #makeuptip,https://www.youtube.com/watch?v=vugs3S09AjM,Rose Makeup World,https://www.youtube.com/channel/UCHFFV8MQ3sc15gFN2i390eA,2026-03-19T03:13:53.594Z,124.0,103.423,103.423
Fans are very disappointed with BTS V! 🤯,https://www.youtube.com/watch?v=BhzIUWl734A,IdolVerse,https://www.youtube.com/channel/UCJ4Y2zv7cnyRlCQFCpNAlFA,2026-03-19T03:13:49.073Z,17.0,4.521,4.521
You'll Never Guess Where Peanut Left His Phone,https://www.youtube.com/watch?v=dDLlQrorpro,Burntpeanutclips,https://www.youtube.com/channel/UC9f0oiLZcNeaq39tJ2t3e3A,2026-03-19T03:12:39.204Z,70.0,69.869,69.869
The cold plunge incident...,https://www.youtube.com/watch?v=v79GZAhzgWQ,Botez Sisters Podcast,https://www.youtube.com/channel/UCvktw2yF_rkJRNO9fyT-_KQ,2026-03-19T03:12:08.348Z,29.0,30.856,29.0
Hasan can be so boring #austinshow #hasanabi #qtcinderella #podcast #friends,https://www.youtube.com/watch?v=UGnd7vFDyTo,AustinShow,https://www.youtube.com/channel/UCuo4oFbb__fyoIDE2z_RdMA,2026-03-19T03:11:34.529Z,30.0,33.819,30.0
Peanut is Addicted to The Isle...,https://www.youtube.com/watch?v=meEUFOjPyhY,TheBurntPeanutShorts,https://www.youtube.com/channel/UCOfQQoEvDfRn9EdlDJQkqaw,2026-03-19T03:08:00.935Z,143.0,213.594,143.0
"Peanut reveals the ONLY real ""Dad Game"" 🧐  #theburntpeanut #dayz",https://www.youtube.com/watch?v=7Dkq06m5_Tc,The Daily Bungulator,https://www.youtube.com/channel/UCVwOm7EJ1qBzFmQsQkP55tA,2026-03-19T03:07:38.721Z,19.0,22.214,19.0
Peanut Got Too Attached to his Dino,https://www.youtube.com/watch?v=HreSv5_uDkU,TheBurntPeanutShorts,https://www.youtube.com/channel/UCOfQQoEvDfRn9EdlDJQkqaw,2026-03-19T03:06:49.130Z,123.0,49.591,49.591
