participant_id,assignment,total_videos,total_adjusted_videos,playlist_videos,all_ai_videos,ai_adjusted_videos,share_ai_adjusted_videos,total_watch_time,total_adjusted_watch_time,playlist_watch_time,all_ai_watch_time,ai_adjusted_watch_time,share_ai_adjusted_watch_time
fdb5784192ad35049dc9bfacc19b6a7b9333d974f15b51caa1c695ae51327cc1,Control,61,61,0,0,0,0.0,58691.947,58691.947,0.0,0.0,0.0,0.0
5b7ab1cc1fdece4fedb8fe7b6582e0d3b2adbac8dce18df3413fd152471d2320,Control,28,28,0,1,1,0.03571428571428571,55516.324,55516.324,0.0,12565.0,12565.0,0.22632982688118902
55994a723434cbfb0845d55bfe4c5dde74cd567702691226e6fb10019e5a1f60,Control,53,53,0,0,0,0.0,13277.939,13277.939,0.0,0.0,0.0,0.0
a155d37a45ba76adb6582c15757bb42369bfdbcc45e96f92b8a01544b6651fcc,Treatment,43,43,0,0,0,0.0,42619.747,42619.747,0.0,0.0,0.0,0.0
7ae9ec4376f913bd5b2adf7278894749f7d3a85830badaf761eb76cd7165e327,Treatment,172,172,0,1,1,0.005813953488372093,50157.46,50157.46,0.0,16.0,16.0,0.0003189954196245185
47fe147153cb7590170d4296e92af071ea1c2d6f5883c16e065bf871b438d5f3,Treatment,3477,3477,0,33,33,0.009490940465918895,166498.004,166498.004,0.0,1853.6989999999998,1853.6989999999998,0.011133460795121604
8a48e77b991639df127a081b09f19fb00482c6e66a41b605f5774fb4b45186ff,Control,307,307,0,0,0,0.0,115719.005,115719.005,0.0,0.0,0.0,0.0
00d75f00f03923c234134194b5313f73ed48246757d1056cee1d3acbbf5c401d,Control,59,59,0,1,1,0.01694915254237288,213700.662,213700.662,0.0,688.0,688.0,0.003219456568646474
e5b6cb8d603dd649055196310b74940db7f022dda23fa51f486bfcb2fbba1538,Treatment,36,36,0,0,0,0.0,142210.866,142210.866,0.0,0.0,0.0,0.0
f818c2a643508bf571f28399356cf86bd236f7279b3c13682c9b36f9e2558c09,Treatment,13,13,0,0,0,0.0,224649.328,224649.328,0.0,0.0,0.0,0.0
b9b3761df447eefa4a6e091755572083ec72cdc8195d3a44392618dddcb36589,Control,244,244,0,2,2,0.00819672131147541,327639.782,327639.782,0.0,98.0,98.0,0.0002991089769434653
6a9dd3235eb51cce14e71c429c2c25b4d9f47a0e9f402321ad5e0dc53b1bf2b5,Control,1325,1325,0,5,5,0.0037735849056603774,142307.992,142307.992,0.0,258.18399999999997,258.18399999999997,0.0018142621252079782
80ddc35e374a2577999befb84829f6cd9f1456453af02b78bc14011787cd8801,Treatment,104,104,0,0,0,0.0,376548.99,376548.99,0.0,0.0,0.0,0.0
05bf912281ebbb4f2cfa38c876a5a8e07cbee381e9ff28a5d00c9366347b4963,Treatment,16,16,0,1,1,0.0625,739.691,739.691,0.0,64.0,64.0,0.08652261552459067
3163550b5d889b401b0e77504515ada94d0c9903649fa3bf84ea6d0c904e9674,Control,4823,4823,0,19,19,0.003939456769645449,246952.901,246952.901,0.0,155.06500000000003,155.06500000000003,0.0006279132554105935
79a75fa21aa35d74c1863543f3a543620406ba451b6dd749c957162ec5fd1de6,Control,72,72,0,0,0,0.0,14765.943,14765.943,0.0,0.0,0.0,0.0
217d89a12554277f1bf1194e21b7e83708d9d4c5ab83966119e1952603cc4033,Control,87,87,0,0,0,0.0,33048.51199999999,33048.51199999999,0.0,0.0,0.0,0.0
d5d1c001cfed8e6c1bfbef72e54067f2ff7339f060f74ad32b47c43639ca1890,Treatment,176,176,0,0,0,0.0,209904.99099999998,209904.99099999998,0.0,0.0,0.0,0.0
51082bbf39ff4e7f06ad6e068576e206155d45974cc48bf78608ada9bf416e8e,Control,594,594,0,11,11,0.018518518518518517,340668.52900000004,340668.52900000004,0.0,858.6809999999999,858.6809999999999,0.0025205762402549367
14d84ac632a761d7c695fdcbb09c87bceefd138409eb697bc7401103ac3e3567,Control,750,750,0,8,8,0.010666666666666666,63598.339,63598.339,0.0,393.23,393.23,0.00618302311322942
6c1eb8623b18c19cc79ab4827e6bd999162d79dd131aef22370114c675f49b82,Control,300,300,0,6,6,0.02,162707.418,162707.418,0.0,935.124,935.124,0.005747273305019197
6f8c7c630aacfeaa49a8fc80d4a250759b2ef57d1bb150dd2dbbc2b29ea0e76a,Treatment,170,170,0,1,1,0.0058823529411764705,153369.32300000003,153369.32300000003,0.0,31.0,31.0,0.00020212647088492392
c31093ced71123260f0ae17798ae78a86e354436c8f29da69d0ebe3f82240e29,Treatment,383,383,0,1,1,0.0026109660574412533,208680.31,208680.31,0.0,740.0,740.0,0.0035460940229578917
b9ac19c10f0e2d4d5bf4f4b7ac0c2bba17f216a8b5d0ad4b8bd1556f9ac690af,Treatment,308,308,0,21,21,0.06818181818181818,279484.529,279484.529,0.0,4537.414000000001,4537.414000000001,0.016234937999018904
9e3fac510b0bd1455e4e1b322b5098b3f518755b59df530bda32964063bb6b17,Treatment,950,950,0,11,11,0.011578947368421053,420420.1649999999,420420.1649999999,0.0,252.63600000000002,252.63600000000002,0.0006009131365047632
1f1f81825ff64ad452e4afa6b664f000791d2b7bf9e656309b9222270a627512,Treatment,66,66,0,0,0,0.0,208336.68800000002,208336.68800000002,0.0,0.0,0.0,0.0
28de3a45a8db4e20f21439319eb53eb447b7284cf8c2e4fb05a776364901ed95,Control,99,99,0,3,3,0.030303030303030304,30032.189,30032.189,0.0,72.731,72.731,0.0024217681901242696
6397d1dd1b9ebdba9d1b7fb2269d1abce49d09cdf8f9394d310fa7cf34f56d09,Treatment,75,75,0,2,2,0.02666666666666667,58405.342,58405.342,0.0,39.827000000000005,39.827000000000005,0.0006819068022921604
af4ae881c4d2fc85bd8c7b2ec545b2a7f79bf95c22d61823f5d952a5f75f53a9,Control,1456,1456,0,2,2,0.0013736263736263737,490985.299,490985.299,0.0,35.804,35.804,7.292275364032845e-05
1029387832237471b8719e483f3d542fa65b007f6a96874cb655a2b3683f94bb,Treatment,107,107,0,4,4,0.037383177570093455,136246.199,136246.199,0.0,2695.429,2695.429,0.019783517043290143
0b0641dcfcf0efcac2bd6dca1ec1b6c4de3d42c0c4cf45b7d351ccf06cd56193,Treatment,59,59,0,1,1,0.01694915254237288,6877.508,6877.508,0.0,7.0,7.0,0.0010178105209037926
c281cc95f3aecf52b7e6e70fa40dc6934d7ff536dbfb8da57e424ca094bc76c5,Treatment,2891,2891,0,8,8,0.002767208578346593,188262.347,188262.347,0.0,306.933,306.933,0.0016303472515404262
35850b1d37c2e88a3de3c67e3421f322afdff145966ecc64fe24118b531c27de,Control,934,934,0,13,13,0.013918629550321198,169239.196,169239.196,0.0,366.094,366.094,0.0021631750129562184
268f3a6fb00c656c5bde3a18cdf8da9dab9f964356b60b2211a42133762fa19d,Control,1522,1522,0,12,12,0.00788436268068331,195958.749,195958.749,0.0,125.733,125.733,0.0006416299381458084
1363e9b1df671fb84885328e24299f0a1834a06804215a9be37486057123121f,Treatment,192,192,0,0,0,0.0,18082.684,18082.684,0.0,0.0,0.0,0.0
56b760696d7447006998fd2dae738fab7b9d2f3e33d0c549f996ed472cf4eaf9,Control,13,13,0,1,1,0.07692307692307693,16487.993,16487.993,0.0,15.032,15.032,0.0009116937398020487
72151a642e782823ed58360bb68e3ab0f200483f803b4f4ebfe0746a9c75267c,Treatment,3725,3725,0,15,15,0.004026845637583893,178860.668,178860.668,0.0,293.88,293.88,0.0016430666578970844
5316c4743b2b0e0e596bfb6f9c7f35d7f2964d451a795402805d33e10847af64,Control,27,27,0,0,0,0.0,6982.016,6982.016,0.0,0.0,0.0,0.0
8f38d665c4078774b51dc800919d9950fb7b6dbf25ddab0f3a93998288df5ea1,Control,541,541,0,4,4,0.0073937153419593345,279037.9,279037.9,0.0,2314.575,2314.575,0.00829484095171301
05976321398cd4e96fa847e15fe1645759166d286a9f23f31e8e25b19468a5da,Treatment,901,901,0,2,2,0.0022197558268590455,133906.28100000002,133906.28100000002,0.0,4.077,4.077,3.044666739717758e-05
