PROLIFIC_PID,GROUP
c8ad8a2fad68902c8b205bb5079216a489da0164758a6b29919181e9516f2b25,1
e493ee367fde2db65ccd50297141fdcc1815bf2b4f170714d95dc280198928a4,1
4c702f1bd58b7e542476873c4b41f6170fdb954822b14b84236e7194735b41ee,0
3a8ebbb6cc59503cf21552096af6abfd4b6321cbaad371d5a55f5215434adea3,0
41ca0c776def4fcb254178ce9770bcc341c18b863dfcaab4817dcc88edc2d101,1
f20fd5f0f1d1f19b662f7a5198841f6ebc6fb48f4f8569d9a9776bc61140c017,1
073b19d8400e1f554df7c1fea9fdc0049634fcbf0d590456edd1d7735ad23fed,1
f5c7586d7dcaa45e87b39ed04c93774f0570dcb138484208d7fc4efcaf364712,1
cf06f0faebbc6a7b7e988aea14b2a1b76554991e1e42fa00c709af225539a5db,0
b7414351e89f1928503e8f73647f907bce6ce9dbf5dd1a6e1cf45bdf0ec9b740,0
089f297c95a73c13f43af5e2e070f40dacaa13816b879874ddc0bb9acfad0e62,0
f07c7afb6e949632d754bec8bb501ff855220c82d2155f1369084e29c10f744e,1
1a0462ae4af0e88836c644c620df67e6910f424da08307eb46a7bf7a7a1fba0c,0
54dd68afbbb3d5f5dae816555a692233ebac1614dc71e93086f5d9624fb6cdcc,0
98543d4f0b788caddfc9cb4a17b6147545576f66a6f93edeeeb1d3fe5cc77aa3,0
56b760696d7447006998fd2dae738fab7b9d2f3e33d0c549f996ed472cf4eaf9,0
72151a642e782823ed58360bb68e3ab0f200483f803b4f4ebfe0746a9c75267c,1
bce97f1afb4585ddd5c87e5fc6ec6b0f1045446418d2c3a85d6dc29e335fa698,0
3badd1f58fd86e36a7607b5953cdac06981ef38491dd0bafde0e4e4684d88bc2,1
cf9cc22e39716d1ca3ce96f4855488de418f37f2d0422a8eb17c7d6c66ccde23,1
e43d44eec7fbb9047fa99085f6d8a48c18836a41b1360f620bb78f9b4d11b7df,0
35850b1d37c2e88a3de3c67e3421f322afdff145966ecc64fe24118b531c27de,0
f215bb37a8c4fb7591e18ad55aaad141216a02741c1dd7b01ab7e5e563e1ab0a,0
31c82aefc72e441b424f82414551cb6b4debe55f4f190863cca0e064cc80e9e8,0
28504f150e535c2506445aac6308b84f75ca3e4b08515be4eb76a289f2d40797,0
f34f3ac005025ab4fd0960b5d0a1403346182859779c792f6c78c592454c05ec,0
f38aa54ca8d24c4b8a7efe3d560af793a1f89fccc7d453c69e22a5f31a306c7a,0
ddfc74ccaccd8331aa629a35fa3b5f52eebf6d67faa625e2d5c3348425341c0b,1
db98689fe8a7677b9a92cf683b8f00b723c5bcb5bb9cf7ab5587fd8fcd0ea0a5,1
c43a9511960d294135191f28ef364e7771a544f3745545b1a1caf87fb39548b8,0
0ec80ff80b476591a4641f77e1f6b74030de6dd034e10796d6ac3db251c2ec5a,1
4a4c96f16ac10c3d8ae83712e5812da3bdd13079bc365f40e20a6590c3335b0b,1
4e4daff5c788b0cdcbcb8a163eff4849344a9eeebd9b457c7c7342fc891a5d8f,0
351c41ecabbb919830af453ee68c603a097e01bb3513b31804c464f169e96c00,0
a19df68a39faf415b5141858c1738a4630420122f2618188d77e70f0097ef790,1
f2805f6ed2de4e8c82d2f514c32b91d37035a81ee7f7416b71189ac831d1a29e,0
4a90006f365445ceb96dd62208381fbeb0000153188b606248a408d110ee729a,0
6e30613be2a9ed6cf3db91228ef4c81fd6cc3572b0ca0da0a4803e8c899ef81d,1
12144f96ec917dff33b1e29737a89dce0325c1154eefa84f7ffb1b3ab86384ea,0
af4ccc51de5c135cdf5ef6248ed83b0aef1e42debbfc854f40aae17a9d151ee8,1
55ff32479634375c78d2fec46927f8c7e57ac07268cf90b63b94721b8979d223,0
74313ee3b37a031b824893c9786bd9fb311c35ffad07a0b4a0c885af597b7a40,1
6397d1dd1b9ebdba9d1b7fb2269d1abce49d09cdf8f9394d310fa7cf34f56d09,1
80ddc35e374a2577999befb84829f6cd9f1456453af02b78bc14011787cd8801,1
c31093ced71123260f0ae17798ae78a86e354436c8f29da69d0ebe3f82240e29,1
cbd3057d45a1fe99dd694b9b717df76ac286bada5db797efbf73416c653ad063,1
05a0f1cd480433c2c5e8883b48f8607184ca585db22571f4839c11c4160acd9c,0
229cb06a3a21b6c41ce93fa8d1c5c4938f69db0756b592fb2b9f30cf42f14337,1
a65427abc7123da6d4d59bee521bad0a13f0438b313cb9009d0cda00afaa74e9,1
2eca06a35991db891d92a1ba49a143a1aaad1bf4169cc4be79bf8e6ff9bd6caa,0
