StartDate,EndDate,CONTINUE_STUDY,DELETE_CONTROL,DELETE_TREATMENT,K1,K2,K3,K4,K5,Q1,Q2,Q3,ATT1,Q5,Q6,Q7,Q8,Q1,Q2,ATT2,Q4,Q5,Q6,Q7,Q8,Q1,Q2,Q3,Q4,ATT3,Q6,Q7,SC0,SC1,PROLIFIC_PID,HistoryCheck,Knowledge Score,Attention Score
2026-02-07 13:19:09,2026-02-07 13:30:41,Yes,Yes,,Video A (left),Video B (right),Video A (left),Video A (left),Video A (left),Disagree,Agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Agree,Somewhat agree,Agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,4,3,24e97a36f51885a54c77be79cc5614c918133f7eba983eca8db8183c42569091,,4,
2026-02-07 13:35:23,2026-02-07 14:13:19,Yes,,Yes,Video A (left),Video B (right),Video B (right),Video A (left),Video A (left),Strongly Disagree,Somewhat agree,Agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly Disagree,Somewhat disagree,Disagree,Somewhat agree,Neither agree nor disagree,Disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Agree,5,3,c8ad8a2fad68902c8b205bb5079216a489da0164758a6b29919181e9516f2b25,,5,
2026-02-07 14:58:05,2026-02-07 15:40:52,Yes,,Yes,Video A (left),Video B (right),Video B (right),Video A (left),Video A (left),Strongly Disagree,Strongly Disagree,Strongly agree,Somewhat agree,Strongly Disagree,Disagree,Strongly agree,Strongly Disagree,Strongly agree,Agree,Somewhat disagree,Strongly agree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neither agree nor disagree,Strongly agree,Agree,5,3,e493ee367fde2db65ccd50297141fdcc1815bf2b4f170714d95dc280198928a4,,5,
2026-02-11 22:42:45,2026-02-11 23:54:03,Yes,Yes,,Video A (left),Video B (right),Video B (right),Video A (left),Video A (left),Somewhat disagree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Disagree,Somewhat disagree,Somewhat agree,Agree,Agree,Somewhat disagree,Agree,Disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Somewhat agree,5,3,1a0462ae4af0e88836c644c620df67e6910f424da08307eb46a7bf7a7a1fba0c,,5,3
2026-02-12 4:58:59,2026-02-12 5:39:48,Yes,Yes,,Video A (left),Video B (right),Video B (right),Video A (left),Video A (left),Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Agree,Somewhat agree,Somewhat disagree,Agree,Somewhat agree,Somewhat agree,Strongly Disagree,Somewhat agree,Agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Somewhat agree,5,3,3a8ebbb6cc59503cf21552096af6abfd4b6321cbaad371d5a55f5215434adea3,,5,3
2026-02-12 5:27:20,2026-02-12 6:08:32,Yes,,Yes,Video A (left),Video B (right),Video A (left),Video A (left),Video A (left),Agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Disagree,Disagree,Somewhat disagree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly Disagree,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly Disagree,Somewhat agree,4,3,f5c7586d7dcaa45e87b39ed04c93774f0570dcb138484208d7fc4efcaf364712,,4,3
2026-02-12 5:36:32,2026-02-12 6:11:04,Yes,,Yes,Video A (left),Video B (right),Video B (right),Video A (left),Video B (right),Somewhat agree,Agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Disagree,Neither agree nor disagree,Somewhat agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,4,3,aa06182fbb00020ea8ce76a3f59757e4f0baf00eca9617efdc8fcf52d604b88d,,4,3
2026-02-12 5:46:06,2026-02-12 6:25:39,Yes,Yes,,Video A (left),Video B (right),Video B (right),Video A (left),Video A (left),Strongly Disagree,Strongly Disagree,Strongly agree,Somewhat agree,Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly agree,Agree,Somewhat disagree,Strongly agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neither agree nor disagree,Strongly agree,Agree,5,3,e4a86d4ee2735ffaa7d114f5ab6320a289e36afb878d374478992a934bff16a5,,5,3
2026-02-12 6:34:10,2026-02-12 7:20:28,Yes,,Yes,Video A (left),Video B (right),Video B (right),Video A (left),Video A (left),Somewhat agree,Agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Agree,Somewhat agree,Somewhat agree,Somewhat disagree,Agree,Neither agree nor disagree,Agree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,5,3,f07c7afb6e949632d754bec8bb501ff855220c82d2155f1369084e29c10f744e,,5,3
2026-02-12 7:10:48,2026-02-12 7:54:26,Yes,Yes,,Video A (left),Video B (right),Video B (right),Video A (left),Video A (left),Somewhat agree,Strongly agree,Strongly Disagree,Somewhat agree,Neither agree nor disagree,Agree,Somewhat agree,Strongly agree,Strongly Disagree,Strongly Disagree,Somewhat disagree,Strongly Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly Disagree,Agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly Disagree,Strongly Disagree,5,3,4c702f1bd58b7e542476873c4b41f6170fdb954822b14b84236e7194735b41ee,,5,3
2026-02-12 7:22:07,2026-02-12 7:59:24,Yes,,Yes,Video A (left),Video A (left),Video B (right),Video A (left),Video A (left),Agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Agree,Strongly agree,Somewhat agree,Agree,Strongly Disagree,Strongly Disagree,Somewhat disagree,Strongly Disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly Disagree,Somewhat agree,Agree,Strongly agree,Neither agree nor disagree,Strongly Disagree,Somewhat agree,4,3,321dbebccf11f3f6bcd869e9254b24355ad2ffad91b1e526514ec01f22262125,,4,3
2026-02-12 9:34:38,2026-02-12 10:17:49,Yes,,Yes,Video B (right),Video B (right),Video B (right),Video A (left),Video A (left),Agree,Strongly Disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Agree,Agree,Somewhat agree,Somewhat agree,Agree,Agree,Somewhat agree,Strongly Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,4,3,409d193a6660f2e78a1e446bdefc27743e2662d8f4596d042e351aad415d017c,,4,3
2026-02-12 9:54:16,2026-02-12 10:50:16,Yes,,Yes,Video B (right),Video B (right),Video B (right),Video A (left),Video A (left),Somewhat disagree,Agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Agree,Agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Disagree,Agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Agree,Neither agree nor disagree,Disagree,Agree,4,3,f20fd5f0f1d1f19b662f7a5198841f6ebc6fb48f4f8569d9a9776bc61140c017,,4,3
2026-02-12 15:00:08,2026-02-12 15:43:57,Yes,,Yes,Video A (left),Video B (right),Video B (right),Video A (left),Video A (left),Disagree,Somewhat agree,Agree,Somewhat agree,Somewhat disagree,Agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Disagree,Somewhat agree,Somewhat disagree,Disagree,Neither agree nor disagree,Agree,Agree,5,3,41ca0c776def4fcb254178ce9770bcc341c18b863dfcaab4817dcc88edc2d101,,5,3
2026-02-12 15:22:55,2026-02-12 15:58:18,Yes,Yes,,Video B (right),Video B (right),Video B (right),Video A (left),Video A (left),Disagree,Disagree,Agree,Somewhat agree,Agree,Strongly agree,Strongly agree,Agree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Strongly agree,Agree,Neither agree nor disagree,Disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,4,3,0a93c28ce848bce30eb5bad58ed9da9974e7e3d5d19704b9ce2ad881b518d71e,,4,3
